Type,Name
0,무기에 붙음
1,물리 공격력
2,마법 공격력
3,물리 공격력 증가율
4,마법 공격력 증가율
5,일반 공격의 공격력
6,파티원에 따른 공격력 증가율
7,공격속도 증가율
8,버프
9,크리티컬 대미지 증가율
14,크리티컬 명중률 증가
15,크리티컬 저항률 증가
16,물리 대미지
17,마법 대미지
18,방어력 무시
19,대상의 HP 감소
20,대상의 HP %감소
21,물리 방어력
22,마법 방어력
23,물리 방어력 증가율
24,마법 방어력 증가율
26,회피
27,회피 증가율
28,회피율 증가
29,명중
30,명중 증가율
31,명중률 증가
32,피해량 증가율
33,물리 피해량 증가율
34,@IncreaseDamagePhyMul
35,슬로우 대상에 대한 피해량 증가율
36,방어 무시 대미지
37,피해량 감소율
38,물리 피해량 감소율
39,마법 피해량 감소율
40,고정 피해 감소
41,막기 확률
42,막기 대미지 감소율
43,도트 물리 대미지
44,도트 마법 대미지
45,공격력에 기반해 HP회복
46,도트 힐
47,지형 효과
48,위협수치 증가율
49,HP
50,최대 HP대비 % HP 증가
51,HP 회복량
52,HP 흡수율
53,HP 흡수(액티브로 흡수하는 스킬이다)
54,HP 흡수(본인 또는 파티원에게 나눠서 흡수된다)
55,무적
56,투명
57,아이템 획득 확률 증가
58,최대 HP
59,최대 HP 증가율
60,최대 MP
61,최대 MP 증가율
62,이동 속도 증가율
63,MP
64,MP를 최대 MP의 비율로 증가
65,MP 비용 감소율
66,MP 비용 감소
67,MP 회복량
68,원킬(적을 공격하면 한방에 죽음)
69,발사체
70,스킬 쿨타임 감소
71,똑똑(스킬 사용시 소모 MP 무조건 1)
72,정탄 공격 보너스
73,튼튼(피격 대미지 무조건 1)
74,스턴
75,조롱(어그로 수치를 맥스로 올린다)
76,타겟 고정
77,대상 이동
78,대상 당기기
79,당기기 저항률
81,넉백 저항률
83,엘릭서
84,효과 없음
85,스킬 테이블 정보 식별자
179,범위 버프 (오오라  토템)
86,경험치
87,경험치 획득량 증가율
88,아데나
89,아데나 획득량 증가율
90,무료 다이아
91,유료 다이아
92,혈맹 주화
93,룬 조각
94,스킬 포인트
95,소탕권
96,아이템 드랍
97,슬로우 저항률
98,"기절, 넉다운 저항률"
99,상태 이상 저항률
103,스킬 범위 증가
104,스킬 히트 수 증가
100,콤보 만료 시간 증가
101,관통
102,탄력
105,채집 속도 증가
106,채집 수량 증가
10,크리티컬
11,크리티컬 저항
12,크리티컬 증가율
13,크리티컬 저항 증가율
125,정신 지배
133,공격형 일반스킬 대미지 증가
140,스킬 쿨타임 감소율
146,대상의 MP 감소
147,대상의 MP %감소
148,공격력에 기반해 MP회복
179,파티원에 따른 방어력 증가율
151,상태 이상 효과 제거
152,상대 이로운 효과 제거
153,특정 HP 이하 피해 면역 상태
136,HP 회복량 증가율
163,최종 피해량 증가율
164,최종 피해량 독립 감소율
165,@NormalSkillDamageMul
174,회복형 일반스킬 회복량 증가
171,"기절, 넉다운 저항률 증폭"
170,슬로우 저항률 증폭
169,크리티컬 저항률 증폭
131,몬스터에게 피해량 증가
132,몬스터에 받는 피해량 감소
176,몬스터에게 일반 스킬 대미지 증가
177,@NormalSkillMonsterDamageMul
160,"npc 등급, 종족에 따른 데미지 증가율"
