Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,말하는 섬 동부,{ReplaceString1} 정찰,말하는 섬 동부,{ReplaceString2} 몬스터 처치,말하는 섬 동부의 몬스터를 {TaskCount}마리 처치하세요.
2,말하는 섬 서부,@1,말하는 섬 서부,@1,말하는 섬 서부의 몬스터를 {TaskCount}마리 처치하세요.
3,글루딘 가도,@1,글루딘 가도,@1,글루딘 가도의 몬스터를 {TaskCount}마리 처치하세요.
4,글루디오 평원,@1,글루디오 평원,@1,글루디오 평원의 몬스터를 {TaskCount}마리 처치하세요.
5,윈다우드 장원,@1,윈다우드 장원,@1,윈다우드 장원의 몬스터를 {TaskCount}마리 처치하세요.
6,황무지,@1,황무지,@1,황무지의 몬스터를 {TaskCount}마리 처치하세요.
7,디온 목초지,@1,디온 목초지,@1,디온 목초지의 몬스터를 {TaskCount}마리 처치하세요.
8,크루마 늪지,@1,크루마 늪지,@1,크루마 늪지의 몬스터를 {TaskCount}마리 처치하세요.
9,투쟁의 봉우리,@1,투쟁의 봉우리,@1,투쟁의 봉우리의 몬스터를 {TaskCount}마리 처치하세요.
10,절규의 땅,@1,절규의 땅,@1,절규의 땅의 몬스터를 {TaskCount}마리 처치하세요.
11,기란 자치령,@1,기란 자치령,@1,기란 자치령 몬스터를 {TaskCount}마리 처치하세요.
12,죽음 안개 해안,@1,죽음 안개 해안,@1,죽음 안개 해안의 몬스터를 {TaskCount}마리 처치하세요.
13,악마섬,@1,악마섬,@1,악마섬의 몬스터를 {TaskCount}마리 처치하세요.
14,@13,@1,@13,@1,@13
15,죽음의 연도,@1,죽음의 연도,@1,죽음의 연도의 몬스터를 {TaskCount}마리 처치하세요.
16,@15,@1,@15,@1,@15
101,엘프의 유적지 1층,{ReplaceString1} 소탕,엘프의 유적지 1층,@1,엘프의 유적지 1층 몬스터를 {TaskCount}마리 처치하세요.
102,엘프의 유적지 2층,@101,엘프의 유적지 2층,@1,엘프의 유적지 2층 몬스터를 {TaskCount}마리 처치하세요.
103,개미굴 지하 1층,@101,개미굴 지하 1층,@1,개미굴 지하 1층 몬스터를 {TaskCount}마리 처치하세요.
104,개미굴 지하 2층,@101,개미굴 지하 2층,@1,개미굴 지하 2층 몬스터를 {TaskCount}마리 처치하세요.
105,크루마 탑 2층,@101,크루마 탑 2층,@1,크루마 탑 2층 몬스터를 {TaskCount}마리 처치하세요.
106,크루마 탑 3층,@101,크루마 탑 3층,@1,크루마 탑 3층 몬스터를 {TaskCount}마리 처치하세요.
107,상아탑 지하 1층,@101,상아탑 지하 1층,@1,상아탑 지하 1층 몬스터를 {TaskCount}마리 처치하세요.
108,@107,@101,@107,@1,@107
109,상아탑 지하 2층,@101,상아탑 지하 2층,@1,상아탑 지하 2층 몬스터를 {TaskCount}마리 처치하세요.
110,@109,@101,@109,@1,@109
111,상아탑 지하 3층,@101,상아탑 지하 3층,@1,상아탑 지하 3층 몬스터를 {TaskCount}마리 처치하세요.
112,@111,@101,@111,@1,@111
201,잊혀진 기억의 성소,{ReplaceString1} 탐사,요일 던전,@1,요일 던전의 몬스터를 {TaskCount}마리 처치하세요.
202,@201,@201,@201,@1,@201
203,채집 던전,@201,채집 던전,@1,채집 던전의 몬스터를 {TaskCount}마리 처치하세요.
204,@203,@201,@203,@1,@203
205,물의 신전,{ReplaceString1} 수호,장비 던전,@1,장비 던전에서 몬스터를 {TaskCount}마리 처치하세요.
206,@205,@205,@205,@1,@205
207,크뤼소스의 금고,{ReplaceString1} 털기,아데나 던전,@1,아데나 던전에서 몬스터를 {TaskCount}마리 처치하세요.
208,@207,@207,@207,@1,@207
209,이계의 틈,{ReplaceString1} 정복,경험치 던전,@1,경험치 던전에서 몬스터를 {TaskCount}마리 처치하세요.
210,@209,@209,@209,@1,@209
211,봉인된 입구,@201,소환석 던전,@1,소환석 던전에서 몬스터를 {TaskCount}마리 처치하세요.
212,@211,@201,@211,@1,@211
301,마물 소환석(희귀),{ReplaceString1} 정화,희귀 몬스터 소환석,@1,"희귀 몬스터 소환석을 사용하고, 던전 내 몬스터를 {TaskCount}마리 처치하세요."
302,@301,@301,@301,@1,@301
303,마물 소환석(보스),@301,보스 몬스터 소환석,@1,"보스 몬스터 소환석을 사용하고, 던전 내 몬스터를 {TaskCount}마리 처치하세요."
351,,학살자,,플레이어 PK,다른 플레이어를 {TaskCount}회 PK하세요.
352,,@351,,@351,@351
401,정령 목자,{ReplaceString1} 처치,@2,{ReplaceString2} 필드 보스 처치,말하는 섬 서부의 보스 정령 목자를 {TaskCount}회 처치하세요.
402,조디악,@401,@3,@401,글루딘 가도의 보스 조디악을 {TaskCount}회 처치하세요.
403,은빛 수염,@401,@4,@401,글루디오 평원의 보스 은빛 수염을 {TaskCount}회 처치하세요.
404,베파르,@401,@5,@401,윈다우드 장원 의 보스 베파르를 {TaskCount}회 처치하세요.
405,카지르,@401,@6,@401,황무지의 보스 카지르를 {TaskCount}회 처치하세요.
406,플레곤,@401,@7,@401,디온 목초지의 보스 프레곤을 {TaskCount}회 처치하세요.
407,시스,@401,@8,@401,크루마 늪지의 보스 시스를 {TaskCount}회 처치하세요.
408,아마데우스,@401,@9,@401,투쟁의 봉우리의 보스 아마데우스를 {TaskCount}회 처치하세요.
409,스테노아,@401,@11,@401,기란 자치령의 보스 스테노아를 {TaskCount}회 처치하세요.
1001,,매일매일 부지런히,일일 퀘스트,{ReplaceString2} 수행,일일 퀘스트 {TaskCount}개를 수행하세요.
1002,,매주매주 부지런히,주간 퀘스트,@1001,주간 퀘스트를 {TaskCount}개를 클리어하세요.
1011,,아데나 수급에는 스크롤,C,{ReplaceString2}급 이상 퀘스트 스크롤 완료,C급 이상 퀘스트 스크롤을 {TaskCount}번 완료하세요.
1012,,@1011,B,@1011,B급 이상 퀘스트 스크롤을 {TaskCount}번 완료하세요.
1013,,@1011,A,@1011,A급 이상 퀘스트 스크롤을 {TaskCount}번 완료하세요.
1014,,@1011,S,@1011,S급 이상 퀘스트 스크롤을 {TaskCount}번 완료하세요.
1031,,치고 또 치고,,콤보 달성,연속 공격으로 {TaskCount}콤보를 달성하세요.
1032,,압도적 일격,,단일 공격으로 최대 대미지 달성,단일 공격으로 적에게 {TaskCount}000000 이상의 대미지를 달성하세요.
