id,Name,HumanDialog,ElfDialog,DarkElfDialog,DwarfDialog
1,돌격,모두 돌격!,돌격해!,돌격!,돌격하자!
2,승리,오직 승리 뿐!,승리를 위해!,오직 승리 뿐!,승리를 위해!
3,손인사,안녕한가!,안녕?,반갑군!,안녕!
4,웃음,하하하하하!,호호호!,아하하하핫!,꺄하하하하!
5,슬픔,으흐흑……,흑! 흑!,"으흑, 흑, 흑……",으아앙!
6,하이파이브,하이파이브!,하이파이브!,하이파이브!,하이파이브!
7,박수,대단해!,대단한데?,대단한걸?,우와! 대단해!
8,좌절,말도 안돼……,이럴 수가……,이런 일이……,맙소사……
9,분노,화가 치민다!!,흥!!,으아아아아아!!!,이이익!! 화나!
1001,마물소환,,,,
1002,마을이동,,,,
10001,결투장휴먼승리,,,,
10002,결투장휴먼패배,,,,
10003,결투장엘프승리,,,,
10004,결투장엘프패배,,,,
10005,결투장다엘승리,,,,
10006,결투장다엘패배,,,,
10007,결투장드워프승리,,,,
10008,결투장드워프패배,,,,
100001,터치액션 #1,,,,
100002,터치액션 #2,,,,
100003,터치액션 #3,,,,
100004,터치액션 #4,,,,
