Id,Value,ButtonString1,ButtonString2
1,[ChatString],,
2,Du wurdest erneut mit dem Server verbunden.,,
3,Eine Gruppe wurde erstellt.,,
4,Gruppenbeitritt erfolgt.,,
5,<FontGreen>[Name]</> ist der Gruppe beigetreten.,,
6,Du hast die Gruppe verlassen.,,
7,<FontGreen>[Name]</> hat die Gruppe verlassen.,,
8,Du wurdest aus der Gruppe geworfen.,,
9,<FontGreen>[Name]</> wurde aus der Gruppe geworfen.,,
10,Du bist zum Anführer der Gruppe geworden.,,
11,<FontGreen>[Name]</> wurde zum Gruppenführer ernannt.,,
12,Die Gruppe wurde aufgelöst.,,
13,"Gruppeneinladung von <FontGreen>[Name]</>.
Gruppe beitreten? <FontRed>[Seconds]</> Sek",Ablehnen,Beitreten
14,Gruppenbeitritt abgelehnt.,,
15,"Jemand möchte deiner Gruppe beitreten.
Möchtest du zustimmen? <FontRed>[Seconds]</> Sek.",@13,Annehmen
16,Auto-Gruppe wurde abgebrochen.,,
17,"Ort : <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontBlue>[Name]</> möchte das Abenteuer beginnen. Bereit machen? <FontRed>[Seconds]</> Sek",@13,Annehmen
18,"Ort : <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</>
Du betrittst <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</> in <FontRed>[Seconds]</> Sekunden.
Mach dich bereit.",,
19,"Ort : <FontGreen>[WorldName]</>
<FontBlue>[Name]</> möchte dich beschwören.
Beschwörung annehmen? <FontRed>[Seconds]</> Sek",Zu Fuß,Über Portal
20,@19,Schließen,Betreten
21,"Ort : <FontGreen>[WorldName]</>
Zur Gruppenversammlung bewegen? <FontRed>[Seconds]</> Sek",@19,@19
22,@21,@20,@20
23,"<FontYellow>[Battlefield]</>-Gruppe wurde erstellt.
Betritt das Schlachtfeld <FontBlue>alleine</> oder in einer <FontBlue>Schlachtfeldgruppe</> mit anderen Spielern.",,
24,<FontYellow>[Battlefield]</>-Gruppe beigetreten.,,
25,<FontGreen>[Name]</> ist der <FontYellow>[Battlefield]</>-Gruppe beigetreten.,,
26,Die <FontYellow>[Battlefield]</>-Gruppe wurde aufgelöst.,,
27,<FontYellow>[Battlefield]</>-Gruppe verlassen.,,
28,<FontGreen>[Name]</> hat die <FontYellow>[Battlefield]</>-Gruppe verlassen.,,
29,"Schlachtfeldgruppeneinladung von <FontGreen>[Name]</>([Power]).
<FontYellow>[Battlefield]</>-Gruppe beitreten? <FontRed>[Seconds]</> Sek",@13,@15
30,"<FontYellow>[BattlefieldType]</> Suche abgeschlossen.
Betritt Schlachtfeld in <FontRed>[Seconds]</> Sek. Mach dich bereit.",,
31,[Name] hat eine Freundschaftsanfrage gesendet.,Freund,
