AchievementLevel,Name
0,Abenteurer-Anwärter
1,Anfänger-Abenteurer
2,Gewöhnlicher Abenteurer
3,Sorgfältiger Abenteurer
4,Willensstarker Abenteurer
5,Starker Abenteurer
6,Gewöhnlicher Söldner
7,Standhafter Söldner
8,Mutiger Söldner
9,Hartnäckiger Söldner
10,Unerschrockener Söldner
11,Stolzer Soldat
12,Mutiger Soldat
13,Kräftiger Elitesoldat
14,Zäher Kämpfer
15,Geschickter Krieger
16,Schlauer Kämpfer
17,Wilder Kämpfer
18,Kräftiger Kämpfer
19,Besonnener Ritter
20,Entschlossener Ritter
21,Ehrenhafter Ritter
22,Vernünftiger Baron
23,Intelligenter Baron
24,Hochmütiger Baron
25,Kühner Baron
26,Zäher Baron
27,Waghalsiger Baron
28,Stiller Marquis
29,Mächtiger Marquis
30,Nobler Marquis
31,Unerbittlicher Aufspürer
32,Schlauer Wachmann
33,Ehrenhafter Herausforderer
34,Strahlender Sieger
35,Sturmkommandant
36,Bewährter Fürst
37,Retter Adens
38,Explodierender Zerstörer
39,Todesschlachter
40,Aufrichtiger Wächter
41,Kraftvoller Vollstrecker
42,Glorreicher Eroberer
43,Unbeugsamer Retter
44,Rechtschaffener Richter
45,Strafender Destruktor
46,Herrscher des Kontinents
47,Extremer Experte
48,Grausamer Unsterblicher
49,Legendärer Limit-Breaker
50,Schlachtfeldgott
