Id,SpotName,SpotTitle,Desc
1,Feste der Gludin-Straße,,
2,Feste der Gludio-Ebenen,,
3,Feste des Windawood-Anwesens,,
4,Feste der Einöde,,
5,Feste der Dion-Ebenen,,
6,Feste des Cruma-Sumpfes,,
7,Feste des Gipfels des Missklangs,,
8,Feste des Kreischenden Heiligtums,,
9,Feste des Giran-Reiches,,
10,Feste der Tödlichen Nebelküste,,
11,Feste der Teufelsinsel,,
12,Feste der Ruhelosen Totenstadt,,
13,Feste des Drachentals,,
14,Feste des Nordwindplateaus,,
15,Feste der Ewigen Lande,,
16,Eroberte Feste des Elfenbeinturms,,
17,Feste der Dolmenruinen,,
18,Feste der Zerrütteten Lande,,
19,Feste des Siegesobelisken,,
20,Feste des Befestigten Lagers,,
21,Feste der Flüsternden Wälder,,
22,Feste des Ruhelosen Waldes,,
23,Feste des Westlichen Spähpostens,,
24,Feste der Elfenruinen,,
101,Hafen der Sprechenden Insel,Hafen der Sprechenden Insel,
102,Zerrüttete Lande,Zerrüttete Lande,
197,Stadt der Sprechenden Insel,Stadt der Sprechenden Insel,
201,Westlicher Spähposten,Westlicher Spähposten,
202,Ruheloser Wald,Ruheloser Wald,
301,Windmühlenebenen,Windmühlenebenen,
302,Stiller Friedhof,Stiller Friedhof,
303,Räuberlager,Räuberlager,
397,Gludin-Stadt,Gludin-Stadt,
398,@1,Feste der Gludin-Straße,
401,Verwüstetes Ackerland,Verwüstetes Ackerland,
402,Monstervernichtungs-Kommandoposten,Monstervernichtungs-Kommandoposten,
403,"Wohnstätten der Maille-
Echsenmenschen","Wohnstätten der Maille-
Echsenmenschen",
404,Turek-Ork-Lager,Turek-Ork-Lager,
497,Stadt der Burg von Gludio,Stadt der Burg von Gludio,
498,@2,Feste der Gludio-Ebenen,
499,Burg von Gludio,Burg von Gludio,
501,Windawood-Ruinen,Windawood-Ruinen,
502,Schlachtfeld,Schlachtfeld,
503,Zuflucht des Gefallenen Elfen,Zuflucht des Gefallenen Elfen,
504,"Turek-Ork-
Station","Turek-Ork-
Station",
598,@3,Feste des Windawood-Anwesens,
601,Staubschüssel,Staubschüssel,
602,Einöde,Einöde,
603,Rotfelsgebirge,Rotfelsbrücke,
697,"Staris'
Lagerplatz","Staris'
Lagerplatz",
698,@4,Feste der Einöde,
701,Holzfällergebiet,Holzfällergebiet,
702,Agrargebiet,Agrargebiet,
703,Außenbezirk der Burg von Dion,"Außenbezirk der Burg
von Dion",
704,Ebenen,Ebenen,
797,Dion-Stadt,Dion-Stadt,
798,@5,Feste der Dion-Ebenen,
799,Burg von Dion,Burg von Dion,
801,Gruselgelände,Gruselgelände,
802,"Eingang zum Cruma-
Sumpfland","Eingang zum Cruma-
Sumpfland",
803,Cruma-Sumpfland,Cruma-Sumpfland,
897,Archäologenlager,Archäologenlager,
898,@6,Feste des Cruma-Sumpfes,
901,Stiller Wald,Stiller Wald,
902,Tanor-Lagereingang,Tanor-Lagereingang,
903,Tanor-Lager - Innenbereich,Tanor-Lager - Innenbereich,
904,Ol Mahum-Versteck,Ol Mahum-Versteck,
998,@7,Feste des Gipfels des Missklangs,
1001,Mandragora-Farm,Mandragora-Farm,
1002,Hinrichtungsgelände,Hinrichtungsgelände,
1003,Eingang der Festung der Qualen,Eingang der Festung der Qualen,
1004,Festung der Qualen - Innenbereich,Festung der Qualen - Innenbereich,
1098,@8,Feste des Kreischenden Heiligtums,
1101,Eingang zum Giran-Reich,Eingang zum Giran-Reich,
1102,Gorgon-Blumengarten,Gorgon-Blumengarten,
1103,Singender Wald,Singender Wald,
1104,Lager der Langk-Echsenmenschen,Lager der Langk-Echsenmenschen,
1197,Giran-Stadt,Giran-Stadt,
1198,@9,Feste des Giran-Reiches,
1199,Burg von Giran,Burg von Giran,
1201,Handelsroute,Handelsroute,
1202,Nebelwald,Nebelwald,
1203,Giran-Hafen,Giran-Hafen,
1297,@897,@897,
1298,@10,Feste der Tödlichen Nebelküste,
1301,Vorläufiger Teufelsinsel-Hafen,Vorläufiger Teufelsinsel-Hafen,
1302,Verfluchte Goldhöhle,Verfluchte Goldhöhle,
1303,Zakens Geisterschiffhafen,Zakens Geisterschiffhafen,
1398,@11,Feste der Teufelsinsel,
1401,Breka-Festung,Breka-Festung,
1403,Abgrund des Vergessens-Wegpunkt,Abgrund des Vergessens-Wegpunkt,
1404,Drachengrab,Drachengrab,
1405,Totenmanns Pass,Totenmanns Pass,
1402,Eingang zum Abgrund des Vergessens,Eingang zum Abgrund des Vergessens,
1406,Am Rande des Todes,Am Rande des Todes,
1498,@12,Feste der Ruhelosen Totenstadt,
1501,Jägertal,Jägertal,
1503,Timak-Außenposten,Timak-Außenposten,
1502,Jägerlager,Jägerlager,
1597,Oren-Stadt,Oren-Stadt,
1598,@14,Feste des Nordwindplateaus,
1599,Burg von Oren,Burg von Oren,
1601,Gebrochenes Siegel,Gebrochenes Siegel,
1602,Sporenmeer,Sporenmeer,
1603,Hexenwald,Hexenwald,
1697,Gerätbeschränkte Zone,Gerätbeschränkte Zone,
1698,@15,Feste der Ewigen Lande,
1701,Gesetzlosenwald,Gesetzlosenwald,
1702,Wald des Bösen,Wald des Bösen,
1703,Krater des Elfenbeinturms,Krater des Elfenbeinturms,
1798,@16,Eroberte Feste des Elfenbeinturms,
1801,Drachental-Eingang,Drachental-Eingang,
1802,Land der Drachen,Land der Drachen,
1803,Dämonischer Rift,Dämonischer Rift,
1898,@13,Feste des Drachentals,
10000,Labor des Kleinriesen,Labor des Kleinriesen,
10001,@10000,@10000,
10002,@10000,@10000,
10003,Einhasads Raum,Göttliches Geschenk,
10004,Gran Kains Raum,@10003,
20001,Elfenruinen 1,Elfenruinen 1,
20101,Elfenruinen 2,Elfenruinen 2,
20201,Ameisennest 1,Ameisennest 1,
20301,Ameisennest 2,Ameisennest 2,
20401,Cruma-Turm 2,Cruma-Turm 2,
20501,Cruma-Turm 3,Cruma-Turm 3,
20601,Elfenbeinturm 1,Elfenbeinturm 1,
20701,Elfenbeinturm 2,Elfenbeinturm 2,
20801,Elfenbeinturm 3,Elfenbeinturm 3,
30000,,Westliche Sprechende Insel-Wegpunkt,Östliche Sprechende Insel -> Westliche Sprechende Insel
30001,,Gludio-Schiffskai,Östliche Sprechende Insel -> Gludin-Straße
30002,,Östliche Sprechende Insel-Wegpunkt,Westliche Sprechende Insel -> Östliche Sprechende Insel
30007,,Gludio-Kai,Gludin-Straße -> Östliche Sprechende Insel
30008,,Gludio-Ebenen-Wegpunkt,Gludin-Straße -> Gludio-Ebenen
30009,,Gludin-Straße,Gludio-Ebenen -> Gludin-Straße
30010,,Windawood-Anwesen-Wegpunkt,Gludio-Ebenen -> Windawood-Anwesen
30011,,Gludio-Ebenen-Wegpunkt,Windawood-Anwesen -> Gludio-Ebenen
30012,,Einöden-Wegpunkt,Windawood-Anwesen -> Einöde
30013,,@30010,Einöde -> Windawood-Anwesen
30014,,Dion-Ebenen-Wegpunkt,Einöde -> Dion-Ebenen
30021,,@30012,Dion-Ebenen -> Einöde
30022,,Cruma-Sumpf-Wegpunkt,Dion-Ebenen -> Cruma-Sumpf
30023,,@30014,Cruma-Sumpf -> Dion-Ebenen
30024,,Gipfel des Missklangs-Wegpunkt,Cruma-Sumpf -> Gipfel des Missklangs
30029,,@30022,Gipfel des Missklangs -> Cruma-Sumpf
30030,,Kreischendes Heiligtum-Wegpunkt,Gipfel des Missklangs -> Kreischendes Heiligtum
30031,,@30024,Kreischendes Heiligtum -> Gipfel des Missklangs
30032,,Giran-Reich-Wegpunkt,Kreischendes Heiligtum -> Giran-Reich
30033,,@30030,Giran-Reich -> Kreischendes Heiligtum
30034,,Tödliche Nebelküste-Wegpunkt,Giran-Reich -> Tödliche Nebelküste
30035,,Ruhelose Totenstadt-Wegpunkt,Giran-Reich -> Ruhelose Totenstadt
30036,,@30032,Tödliche Nebelküste -> Giran-Reich
30037,,Teufelsinsel-Schiffskai,Tödliche Nebelküste -> Teufelsinsel
30038,,Giran-Schiffskai,Teufelsinsel -> Tödliche Nebelküste
30039,,@30032,Ruhelose Totenstadt -> Giran-Reich
30054,,Wegpunkt von Zakens Priatenschiff,Teufelsinsel -> Zakens Priatenschiff
30055,,Teufelsinsel-Wegpunkt,Zakens Priatenschiff -> Teufelsinsel
330001,,Eingang zum Schamanendorf,Eingang zum Schamanendorf
330011,,@330001,@330001
330101,,Eingang zur Hassgrube,Eingang zur Hassgrube
330111,,@330101,@330101
60001,,Offizielle Tutorialverwendung (vorläufig),
70001,,Außenbezirk der Burg von Aden,
