Key,Value
ACCOUNT_CONFINE,Dieser Account wurde gesperrt.
ACHIEVEMENT,Erfolg
ACHIEVEMENT_CLEAR_ASSETS,Ressourcen-Erfolg abgeschlossen!
ACHIEVEMENT_CLEAR_BATTLE,Kampf-Erfolg abgeschlossen!
ACHIEVEMENT_CLEAR_DAILY,Täglicher Erfolg abgeschlossen!
ACHIEVEMENT_CLEAR_GROWTH,Stärkungs-Erfolg abgeschlossen!
ACHIEVEMENT_CLEAR_ITEM,Ausrüstungs-Erfolg abgeschlossen!
ACHIEVEMENT_CLEAR_MONTHLY,Monatlicher Erfolg abgeschlossen!
ACHIEVEMENT_CLEAR_SOCIAL,Sozial-Erfolg abgeschlossen!
ACHIEVEMENT_CLEAR_WEEKLY,Wöchentlicher Erfolg abgeschlossen!
ACHIEVEMENT_LEVELREWARD_ERROR,Du hast die Belohnung für diese Erfolgsebene bereits eingesammelt.
ACHIEVEMENT_POINT,Erfolgspunkte
ADENA_LOOTED,[Adena] Adena erhalten.
SIEGE_FESTIVAL_TICKET_LOOTED,[Value] Belagerungsfest-Ticket(s) erhalten.
ADENA_NOT_ENOUGH,Nicht genug Adena.
AHIEVEMENT_HEROIC_WAY,Pfad des Helden
APP_VERSION_UNDER_MIN,Deine App-Version ist nicht die neuste.
APP_VERSION_UNDER_LATEST,"Eine neue Version ist verfügbar.
Möchtest du sie updaten?"
ARMOR_TYPE_HEAVY,Schwere Rüstung
ARMOR_TYPE_LIGHT,Leichte Rüstung
ARMOR_TYPE_ROBE,Robe
ASSETS_ACQUIRE_FROM_GUILD_GREETING,[MemberCount] Klanmitglied(er) gegrüßt und <FontYellow>[AssetCount] Klanmünze(n)</> erhalten.
ASSETS_ACQUIRE_FROM_RECEIVE_GUILD_GREET,[MemberCount] Gruß/Grüße von Klanmitgliedern anerkannt und <FontYellow>[AssetCount] Adena</> erhalten.
ATTENDANCE_NO_MORE_REWARD,"Es gibt keine Belohnungen, die du einfordern kannst."
ATTENDANCE_REWARD_SENT_TO_MAILBOX,Belohnungen für Tag [Param1] wurden an deinen Briefkasten gesendet.
AUCTION_COST,Kosten
AUCTION_ESTIMATED_TIME,Wird gelistet in: [Time]
AUCTION_GROUP_ACCESSORY,Accessoire
AUCTION_GROUP_ARMOR,Rüstung
AUCTION_GROUP_ELIXIR,Elixier-/Trankmaterialien
AUCTION_GROUP_ENCHANT,Aufwertungsmaterialien
AUCTION_GROUP_EquipmentCraft,Herstellungsmaterialien
AUCTION_GROUP_ETC,Anderes
AUCTION_GROUP_MONSTERCORE,Monsterkern
AUCTION_GROUP_SKILLBOOK,"Verges-
sene
Schrift-
rollen/
Seiten"
AUCTION_GROUP_SOULSTONE,Seelenkristall
AUCTION_GROUP_USEITEM,Verbrauchsgüter
AUCTION_GROUP_WEAPON,Waffe
AUCTION_GROUP_PET,Reitbegleiter
AUCTION_HOUSE,Handelsposten
AUCTION_HOUSE_CATEGORY,Kategorie
AUCTION_HOUSE_EQ_ITEM_SELL,[Name] für [Cost] Diamanten listen?
AUCTION_HOUSE_FAVORITE_SELLCANCEL,Verkauf abbrechen
AUCTION_HOUSE_FAVORITE_SELLCOMPLETE,Verkauft
AUCTION_HOUSE_FAVORITE_SELLFAILED,Abgelaufen
AUCTION_HOUSE_FAVORITE_SELLING,Wird gelistet
AUCTION_HOUSE_FAVORITE_WAITING,Wartet auf das Listen
AUCTION_HOUSE_GRADE,Stufe
AUCTION_HOUSE_GRADE_C,C
AUCTION_HOUSE_GRADE_A,A
AUCTION_HOUSE_GRADE_B,B
AUCTION_HOUSE_GRADE_R,R
AUCTION_HOUSE_GRADE_S,S
AUCTION_HOUSE_GRADE_SR,SR
AUCTION_HOUSE_ITEM_BUY,[Name] für [Cost] Diamanten kaufen?
AUCTION_HOUSE_ITEM_FAVORITE,Diesen Gegenstand favorisieren?
AUCTION_HOUSE_ITEM_FAVORITE_CANCEL,Diesen Gegenstand nicht länger favorisieren?
AUCTION_HOUSE_ITEM_SELL,@AUCTION_HOUSE_EQ_ITEM_SELL
AUCTION_HOUSE_LOG_GAIN,Erhalten
AUCTION_HOUSE_LOG_SPEND,Ausgeben
AUCTION_HOUSE_LOG_STATE_BUY_COMPLETED,Kauf abgeschlossen
AUCTION_HOUSE_LOG_STATE_CANCEL_SELL,Verkauf abbrechen
AUCTION_HOUSE_LOG_STATE_SELL_PARTIAL,Teilweiser Verkauf
AUCTION_HOUSE_LOG_STATE_SELL_COMPLETED,Verkauft
AUCTION_HOUSE_LOG_STATE_SELL_FAILED,Kauf fehlgeschlagen
AUCTION_HOUSE_LOG_STATE_SELLING,Wird verkauft
AUCTION_HOUSE_LOG_STATE_TIMEOVER,Zeit abgelaufen
AUCTION_HOUSE_LOG_STATE_WAITING_REGISTER,Wartet auf das Listen
AUCTION_HOUSE_MAX_PRICE,Max. Preis
AUCTION_HOUSE_RESULT_GET,"Die Liste verkaufter Gegenstände wurde sortiert.
Dein Gewinn wird dir sofort zugesendet
und Gegenstände, für die es kein Gebot gab, werden an deinen Briefkasten gesendet.
<FontRed>Die 10 % Handelsgebühr und Gebietssteuer werden von deinem Gewinn abgezogen.</>"
AUCTION_HOUSE_RESULT_GET_ALL,"Bezahlung für alle verkauften Gegenstände erhalten.
(Nicht verkaufte Gegenstände werden an deinen Briefkasten gesendet.)
<FontRed>Ausschließlich 10% Gebühr und Gebietssteuer.</>"
AUCTION_HOUSE_SALES_TYPE,Verkaufsstatus
