Id,Name,ControlText
1202,Elfenruinen 2,
1203,@1202,
1204,@1202,
1205,@1202,
1206,Ameisennest 2,
1218,@1206,
1207,Elfenbeinturm 1 - Richtungspfeil,
1208,Elfenbeinturm 3 - Richtungspfeil,
1209,Elfenbeinturm 1 - Hindernis,
1210,Elfenbeinturm 3 - Hindernis,
1211,"Geheimniswald, Obergeschoss - Richtungspfeil",
1212,"Geheimniswald, Untergeschoss - Richtungspfeil 1",
1214,Ort des Massakers im Geheimniswald - Blockadeobjekt,
1215,@1214,
1216,Elfenbeinturm-Labor,Gran Kains Energie absorbieren ...
1217, Ort des Massakers im Geheimniswald,@1216
1219,Cruma-Turm 2. Etage - Pfeil,
1220,Cruma-Turm 3. Etage - Pfeil,
1221,Zakens Geisterschiff,
1222,@1221,
211010101,Exklusiv für Event: Cruma-Turm-Blockadeobjekt,
211010201,Exklusiv für Event: Cruma-Turm-Ausgangsobjekt,Kontrollsystem in Verwendung
82601,Exklusiv für Event: Cruma-Turm-Eingangsobjekt (Quests),@211010201
82701,Exklusiv für Event: Cruma-Turm-Eingangsobjekt,@211010201
211010301,Erste Forschungsakte des Riesen,Forschungsakten des Riesen überprüfen ...
211010401,Zweite Forschungsakte des Riesen,@211010301
211010501,Dritte Forschungsakte des Riesen,@211010301
211010601,Vierte Forschungsakte des Riesen,@211010301
211010701,Kiste des Riesen,Kiste des Riesen holen ...
211010801,Leere Monsterkiste des Riesen,Du siehst keine Kisten.
211010901,Gefallener Hardin,Hardin aufwecken ...
211011001,Kernetage,
211011101,Barriere-Entfernungsgerät 1 - Aktivierung,Herumbasteln am Energiegerät ...
211011201,Barriere-Entfernungsgerät 1 - Deaktivierung,
211011301,Barriere-Entfernungsgerät 2 - Aktivierung,@211011101
211011401,Barriere-Entfernungsgerät 2 - Deaktivierung,
211011501,Fünfte Forschungsakte des Riesen,@211010301
211011601,Sechste Forschungsakte des Riesen,@211010301
211011701,Siebte Forschungsakte des Riesen,@211010301
211011801,Achte Forschungsakte des Riesen,@211010301
1958,Zufluchtsmauer,
1959,@1958,
1960,@1958,
1961,@1958,
1962,@1958,
1963,@1958,
1964,@1958,
1965,@1958,
1970,@1958,
1971,@1958,
1982,@1958,
2014,@1958,
2015,@1958,
2016,@1958,
2017,@1958,
2021,@1958,
2022,@1958,
2023,@1958,
2027,@1958,
2029,@1958,
2038,Rotes Kraut,Rotes Kraut entnehmen ...
2039,Blaues Kraut,Blaues Kraut entnehmen ...
2040,Lila Kraut,Lila Kraut entnehmen ...
2041,Gelbes Kraut,Gelbes Kraut entnehmen ...
2042,Unbenanntes Kraut,Unbenanntes Kraut entnehmen ...
2043,Großes Rotes Kraut,Großes Rotes Kraut entnehmen ...
2044,Großes Blaues Kraut,Großes Blaues Kraut entnehmen ...
2045,Großes Lila Kraut,Großes Lila Kraut entnehmen ...
2046,Großes Gelbes Kraut,Großes Gelbes Kraut entnehmen ...
2047,Unbenanntes Kraut,Gr. Unben. Kraut entnehmen ...
2048,ANG-Erhöhung,Kleine ANG-Erhöhung
2049,ANG-GES-Erhöhung,Kleine ANG-GES-Erhöhung
2050,VER-Erhöhung,Kleine VER-Erhöhung
2051,Geschwindigkeitserhöhung,Kleine Geschwindigkeitserhöhung
2052,@2048,@2048
2054,@2049,@2049
2055,@2050,@2050
2057,@2051,@2051
2058,Max. LP-Erhöhung,Kleine max. LP-Erhöhung
2059,Max. MP-Erhöhung,Kleine max. MP-Erhöhung
2060,Kristall des Aigis,
2061,@2060,
2062,@2060,
2063,Unsichtbare Mauer,
2064,@2063,
2065,@2063,
2066,@2063,
2067,Brücke,
2068,@2067,
2069,Kresous' Schatullenwand,
2070,@2063,
2071,Erhöhung des Schadens von Fertigkeiten,Erhöhe Schaden von Fertigkeiten leicht
2072,Nahkampfschadensaura,Erhalte Nahkampfschadensaura
2073,Wasserkristall-Barriere,Wasserkristall-Schadensimmunität
2074,Gruppe des Zorns,Erhöht ANG und VER der Gruppe
2075,@2048,@2048
2076,@2049,@2049
2077,@2048,@2048
2078,@2049,@2049
2080,@2051,@2051
3001,LP-Wiederherstellung,LP-Wiederherstellung
3002,@2051,Geschwindigkeitserhöhung
3101,Freyja-Statue,Freyja-Statue schnitzen ...
3102,@3001,@3001
3103,@3001,@3001
3104,@2051,@3002
3105,@2051,@3002
3106,Freyja-Fries,
3107,@3106,
3501,Geplänkel-Arena-Zuflucht,Energie aus der Zuflucht absorbieren ...
7001,Tutorial-Richtungspfeil: Vor dem Burgtor,
7002,Tutorial-Richtungspfeil: In deiner Burg,
7003,Tutorial-Richtungspfeil: Startpunkt,
7010,Blockadeobjekt: Erster,
7011,Blockadeobjekt: 1. Eskorte/Kampf,
7012,Blockadeobjekt: 2. Eskorte/Kampf,
7013,Blockadeobjekt: Bein,
7014,@7013,
7015,@7013,
7016,@7013,
7017,Blockadeobjekt: Marlow,
7018,@7017,
7019,Blockadeobjekt: Torkampf,
7020,@7019,
7021,Blockadeobjekt: Kontrollturm,
7022,@7021,
30020101,Klan-Dungeonblockade: Elfenruinen,
30020301,Klan-Dungeonblockade: Ameisennest,
30020302,@30020301,
30020501,Klan-Dungeon: Cruma-Kern-Stränder,
30020502,Klan-Dungeonblockade: Cruma-Kern,
10101,Dolmenfragment,Fragment aufsammeln ...
10102,@10101,@10101
10103,@10101,@10101
10104,@10101,@10101
10105,@10101,@10101
10106,@10101,@10101
10107,@10101,@10101
10108,@10101,@10101
10109,@10101,@10101
10110,@10101,@10101
10111,@10101,@10101
10112,@10101,@10101
10113,@10101,@10101
10114,@10101,@10101
10115,@10101,@10101
10116,@10101,@10101
10117,@10101,@10101
10118,@10101,@10101
10119,@10101,@10101
10120,@10101,@10101
10121,@10101,@10101
10122,@10101,@10101
10123,@10101,@10101
10124,@10101,@10101
10125,@10101,@10101
10126,@10101,@10101
10127,@10101,@10101
10128,@10101,@10101
10129,@10101,@10101
10130,@10101,@10101
10131,@10101,@10101
10132,@10101,@10101
10133,@10101,@10101
10134,@10101,@10101
10135,@10101,@10101
10201,Lichtstrahl,
10202,@10201,
10301,Feuer,Fledermausfleisch aufsammeln ...
10401,Katzenminze,Katzenminze zupfen ...
10402,@10401,@10401
10403,@10401,@10401
10404,@10401,@10401
10405,@10401,@10401
10406,@10401,@10401
10407,@10401,@10401
10408,@10401,@10401
10409,@10401,@10401
10410,@10401,@10401
10411,@10401,@10401
10412,@10401,@10401
10413,@10401,@10401
10414,@10401,@10401
10415,@10401,@10401
10416,@10401,@10401
10417,@10401,@10401
10418,@10401,@10401
10419,@10401,@10401
10420,@10401,@10401
10421,@10401,@10401
10422,@10401,@10401
10423,@10401,@10401
10501,Kiste ohne Relikt,Kiste untersuchen ...
10601,Unbekannter Umhang,Umhang untersuchen ...
10701,Feldheims Tasche,Tasche untersuchen ...
10901,Gefangene Archäologen,Käfig aufschließen ...
12401,@10901,@10901
12501,@10901,@10901
11101,Eisenstäbe,
11102,@11101,
11103,@11101,
11104,@11101,
11201,Bauholz,Holz entnehmen ...
11202,@11201,@11201
11203,@11201,@11201
11204,@11201,@11201
11205,@11201,@11201
11206,@11201,@11201
11207,@11201,@11201
11208,@11201,@11201
11209,@11201,@11201
11210,@11201,@11201
11211,@11201,@11201
11212,@11201,@11201
11301,Gefangener Bewohner,@10901
12601,@11301,@10901
12701,@11301,@10901
11401,Magischer Schutzstein,Schutzstein abbauen ...
11901,"Elfisches
Diadem",Elfisches Diadem nehmen ...
12001,Teleportationsstein,Teleportationsstein benutzen ...
12101,Vorratsgegenstände,Vorräte nehmen ...
12301,@11101,
12302,@11101,
12303,@11101,
12304,@11101,
12305,@11101,
12801,Blut-Ranger-Bewerbung,Blut-Ranger-Bewerbung schreiben ...
12901,Rüstungskiste,Rüstungs-Vorräte nehmen ...
13001,Stinkendes Fass,Deckel aufbrechen ...
13101,Leeres Gefängnis,
13102,@13101,
13103,@13101,
13201,@13101,
13301,@13101,
13401,@13101,
13501,Unsichtbare Mauer (verwendet in Akt 5),
13502,@13501,
13601,Menschenmengenobjekt Akt 5,
13701,Drillmeisterobjekt Akt 5,
19401,Straßensperrenobjekt,
19501,@19401,
19502,@19401,
19503,@19401,
19504,@19401,
19601,Läuterungsgerät,Läuterungsritual beginnen ...
19701,@12001,@12001
19801,@19601,@19601
19901,@12001,@12001
20101,Liegengelassene Tasche,Tasche untersuchen ...
20102,@20101,@20101
20103,@20101,@20101
20104,@20101,@20101
20201,Feuer der Feuerschale,Ein Feuer entzünden ...
20301,Unheilvoller Umhang,@20201
20401,@10201,
20402,@10201,
20501,Aufgestapeltes Holz,Holz überprüfen ...
21901,@20501,@20501
22001,@20501,@20501
20601,Verdächtige Kiste,Kiste untersuchen ...
20901,Funkeneffekt,
20902,@20901,
20903,@20901,
20904,@20901,
20905,Feuer,
20906,@20905,
20907,@20905,
20908,@20905,
20909,@20905,
20910,@20905,
20911,@20905,
20912,@20905,
20913,@20905,
20914,@20905,
20916,@20905,
20917,@20905,
20918,@20905,
20919,@20905,
20920,@20905,
20921,@20905,
21001,Böser Beschwörungsstein,Beschwörungsstein deaktivieren...
21101,@21001,@21001
21201,Elfenblume,Elfenblume entnehmen ...
21202,@21201,@21201
21203,@21201,@21201
21204,@21201,@21201
21205,@21201,@21201
21206,@21201,@21201
21207,@21201,@21201
21208,@21201,@21201
21209,@21201,@21201
21210,@21201,@21201
21301,Archäologengefängnis,@10901
21401,@21301,@10901
21501,@21301,@10901
21801,Leiche des Bewachers,Leiche einäschern ...
21802,@21801,@21801
21803,@21801,@21801
21804,@21801,@21801
21805,@21801,@21801
21806,@21801,@21801
21807,@21801,@21801
21808,@21801,@21801
21809,@21801,@21801
21810,@21801,@21801
29401,@11101,
29402,@11101,
29403,@11101,
29404,@11101,
29501,@11101,
29502,@11101,
29503,@11101,
29504,@11101,
29505,@11101,
29506,@11101,
29601,@19601,@19601
29701,@12001,@12001
29801,@19601,@19601
29901,@12001,@12001
30201,Ol Mahum-Waffenkiste,Aymels Schwert suchen ...
30202,@30201,@30201
30203,@30201,@30201
30204,@30201,@30201
30301,Kopfgeld,Kopfgeld holen ...
30302,@30301,@30301
30303,@30301,@30301
30304,@30301,@30301
30305,@30301,@30301
30306,@30301,@30301
30307,@30301,@30301
30308,@30301,@30301
30401,Verdächtige Beute,Kopfgeld untersuchen ...
30501,Piratenschiff,
30601,Gekentertes Boot,
30701,Gefangener Stadtbewohner,@10901
32501,Bauholz,Bauholz holen ...
32502,@32501,@32501
32503,@32501,@32501
32504,@32501,@32501
32701,Einhasads Heiliges Artefakt,Heiliges Artefakt holen ...
32801,Modernde Pflanze,Modernde Pflanze untersuchen ...
32802,@32801,@32801
32803,@32801,@32801
32804,@32801,@32801
32901,Alte Befehle,Befehle lesen ...
33101,Kessel des Dunkelmystikers,Kessel untersuchen ...
33201,Erdhügel,Kesselinhalt ausleeren ...
33401,Verdächtige Kellertür,Kellertür öffnen ...
33801,Gefangener Krämer,@10901
34001,Gefangene Aymel,@10901
34201,Strategie,
34202,@34201,
34203,@34201,
34501,@2038,Kraut entnehmen ...
34601,@2039,@34501
34701,@2041,@34501
34801,@2040,@34501
34901,@12001,@12001
35001,Düsterer Zauberkreis,
35002,@35001,
35101,Keller-Stahlstäbe,
35102,@35101,
35201,Leiche eines Stadtbewohners,
35202,@35201,
35203,@35201,
35204,@35201,
35301,Käfig,Käfigtür öffnen ...
35401,Leerer Käfig,
35501,"Zerrissenes Buch, Seite 84","Zerrissenes Buch, Seite 84 aufsammeln ..."
35601,"Zerrissenes Buch, Seite 7","Zerrissenes Buch, Seite 7 aufsammeln ..."
35701,"Zerrissenes Buch, Seite 31","Zerrissenes Buch, Seite 31 aufsammeln ..."
40101,Erwachendes Kraut,Erwachendes Kraut entnehmen ...
40102,@40101,@40101
40103,@40101,@40101
40104,@40101,@40101
40105,@40101,@40101
40106,@40101,@40101
40107,@40101,@40101
40108,@40101,@40101
40109,@40101,@40101
40110,@40101,@40101
40201,Schreckgespenstkäfig,@10901
40202,@40201,@10901
40203,@40201,@10901
40204,@40201,@10901
40205,@40201,@10901
40301,Soldatenleiche,Leiche mitnehmen ...
40302,@40301,@40301
40303,@40301,@40301
40304,@40301,@40301
40305,@40301,@40301
40306,@40301,@40301
40307,@40301,@40301
40308,@40301,@40301
40309,@40301,@40301
40401,Soldatenwaffe,Waffe holen ...
40402,@40401,@40401
40403,@40401,@40401
40404,@40401,@40401
40405,@40401,@40401
40406,@40401,@40401
40407,@40401,@40401
40408,@40401,@40401
40409,@40401,@40401
40601,@21001,Beschwörungsstein zerstören ...
40701,@40301,@40301
40702,@40301,@40301
40703,@40301,@40301
40704,@40301,@40301
40705,@40301,@40301
40706,@40301,@40301
40707,@40301,@40301
40801,Geplünderte Feldfrüchte,Feldfrüchte holen ...
40802,@40801,@40801
40803,@40801,@40801
40804,@40801,@40801
40805,@40801,@40801
40806,@40801,@40801
40901,Foliant Schwarzer Magie,Bücherstapel untersuchen ...
41001,Lagerfeuer der Echsenmenschen,Echsenmenschenblut brennt ...
41101,@41001,@41001
41201,Entführter Alter Mann,@10901
41301,Entführte Frau,@10901
41401,Entführtes Kind,@10901
41501,Echsenmenschentotem,@20201
41701,Eingesperrte Soldaten,@10901
