Id,Name,EffectTypeName,Desc
1001,Gewöhnliches Niederschlagen,Niederschlagen,
1002,@1001,@1001,Letzter Treffer des Basisangriffs
1003,@1001,@1001,
1004,Gewöhnliche Unbesiegbarkeit,Unbesiegbar,Es wird kein Schaden erlitten.
1005,Wiederbelebungs-Schutzbuff,@1004,"Es wird kein Schaden erlitten. Der Unbesiegbarkeitsbuff endet, wenn ein Gegner angegriffen wird."
1011,Gewöhnliche Betäubung,Betäuben,Betäuben
10111,Ansturmeffekt: Niederschlagen,@1001,
10122,Machtstoß: Verlangsamen,Verlangsamen,-{1%} % Geschwindigkeit
11211,Knall,Aggro-Gewinnerhöhung,+50 % Aggro-Gewinn
112124,Rache,Ziel fixiert (PC),Zum Angriff gezwungen
112125,@112124,ANG-Verringerung,-{1} ANG
112126,@112124,Ziel fixiert (NPC),
11213,Erhabenheit,"Erhabenheit: Bedrohungslevel-Steigerung, P-VER-/M-VER-Steigerung, Ausweichen-Verringerung","VER +{2%} %, Aggro aller Angriffe +{1%} %, Schadensreflektion: {1%} %"
11221,Urteil,Verteidigungsverringerung,
11222,Donnersturm,Betäubt,@1011
112231,Weiter Schwung,"Multi-Treffer: Steigerung gleichzeitiger Treffer, ANG-GES-Erhöhung","+{1} Gegner werden gleichzeitig getroffen, +{2%} % ANG-GES"
11231,Sandwolke,Erblinden,-{1%} % Genauigkeitsrate
11232,Rückschritt: Betäuben,@11222,@1011
112331,Hast,Hast: ANG-GES-Steigerung,+{1%}% ANG Geschw.
112332,@112331,Hast: Ausweichen-Steigerung,+{1%} % Ausweichen
11242,Pfeilregen,P-ANG-Verringerung,ANG-Verringerung
11243,Scharfschuss,"Snipe: Angriffsreichweite-, ANG-, Genauigkeitserhöhung, Immobilität",ANG: {2%}%. +{3} GEN. Erhöht Angriffsreichweite. Verringert Geschwindigkeit.
11244,Falkenauge,"Falkenauge: Krit.-Erhöhung, VER-Verringerung","Krit. Rate +{1}, +{2%} % Schaden"
11251,Feuerkessel,Schaden über Zeit,Schaden über Zeit
112531,Mana-Schub,Mana-Schub: Max. MP-Steigerung,"+{1%} % MP-Verbrauch, +{2%} % Fertigkeitenschaden"
11261,Himmlische Strafe: Betäuben,@1001,
11262,Wiederherstellung,HüZ,Heilung über Zeit
12211,Gericht,Ziel fixiert,+30 % Aggro-Gewinn
12212,Evas Anmut,ANG-GES-Verringerung,Verringert LP-Regen. um 50 %.
