Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,Elfenruinen 1,,,"Akademie, an der Elfen den Menschen Magie lehrten. Menschen errichteten hier ihre Herrschaft über den Kontinent."
201,Elfenruinen 2,,,"Als Elfen über den Kontinent herrschten, war diese Etage nur Menschen mit seltenem Talent zugänglich. Die magische Energie hier ist stärker als in der ersten Etage."
202,Ameisennest 1,,,"Eine Höhle voller riesiger Ameisen, die sich angepasst und in der durch die gigantische Explosion Schwarzer Magie entstandenen Einöde überlebt haben."
203,Ameisennest 2,,,"Die Ameisen schufen hier ein noch komplizierteres Labyrinth, um ihre wertvollen Waren zu schützen. Nur Ameisen finden sich hier zurecht."
204,Cruma-Turm 2,,,"Eine Forschungseinrichtung, die von den alten Riesen für biologische Experimente genutzt wurde, um eine neue Lebensform zu erschaffen. Zum Schutz des Labors eingesetzt."
205,Cruma-Turm 3,,,"Dem eigentlichen Zweck des Turms treu bleibend, gibt es in dieser Etage viele biologische Forschungslabore. Sie ist angefüllt mit der magischen Energie der Riesen."
206,Elfenbeinturm 1,,,"Die Entstehung ist dem Meteorit Nebulite zu verdanken. Ursprünglich eine Bibliothek, die wegen den Wütenden Zauberern geschlossen wurde."
207,Elfenbeinturm 2,,,"Ein altes Alchemielabor, überwuchert mit harten, felsenartigen Pilzen, die aus dem Boden wachsen."
208,Elfenbeinturm 3,,,"Position des Meteoriten Nebulite. Monster, die durch den Effekt von Nebulite gestärkt sind, treiben hier ihr Unwesen."
209,Elfenbeinturm-Labor,,,"Das ist sowohl das Labor des Nebulite-verrückten Elfenbeimturmzauberers als auch der Ort, an den er verbannt wurde. Hier treiben sich viele Subjekte herum."
210,Krone des Geheimniswaldes,,,"Einst lebten hier die Feen. Nachdem die Feen wegen der Gefahren der Schlachten fortzogen, nahmen Monster diese Gegend in Beschlag."
211,Unterholz des Geheimniswaldes,,,"Der Geheimniswald ist so überwachsen, dass kein Sonnenlicht mehr hineinfällt, und die Monster entweihten ihn."
212,Ort des Massakers im Geheimniswald,,,"Die letzte Ruhestätte der Feen, die der Feenjagd Widerstand leisteten. Ein dunkler, blutroter Nebelschleier ist allgegenwärtig."
4000,Schillernde-Schuppe-Garten (Platzhalter),,,
9000,ERF-Dungeon I,Verbesserungsstein,"Wird verwendet, um 1 Verbesserungsstein-Ziehung zu erhalten.","Viele mächtige Böse Beschwörungssteine von der Dunklen Bruderschaft wurden angebracht, die entdeckt werden müssen. Betritt die Außenwelt und besiege die Monster, um sie loszuwerden."
9001,ERF-Dungeon II,@9000,"Wird verwendet, um 2 Verbesserungsstein-Ziehungen zu erhalten.",@9000
9002,ERF-Dungeon III,@9000,"Wird verwendet, um 3 Verbesserungsstein-Ziehungen zu erhalten.",@9000
9003,ERF-Dungeon IV,@9000,"Wird verwendet, um 5 Verbesserungsstein-Ziehungen zu erhalten.",@9000
9100,ERF-Dungeon V,@9000,@9003,@9000
9004,Adena-Dungeon I,@9000,@9000,"Shunaiman, der Kaiser von Elmoreden, nutzte diesen Ort zur Goldlagerung. Das Gebäude geriet nach seinem Tod in Vergessenheit und wird jetzt vom Golddrachen Kresous bewohnt."
9005,Adena-Dungeon II,@9000,@9001,@9004
9006,Adena-Dungeon III,@9000,@9002,@9004
9009,Tempelwächter I,@9000,@9000,"Der Elfentempel beherbergt den von Eva gesegneten Wasserkristall. Hardin befahl den Silberlicht-Söldnern, den Wasserkristall vor der Dunklen Bruderschaft zu schützen."
9010,Tempelwächter II,@9000,@9001,@9009
9011,Tempelwächter III,@9000,@9002,@9009
9012,Tempelwächter IV,@9000,@9003,@9009
9300,Tempelwächter V,@9000,@9003,@9009
9013,Beschwörungskreis I,@9000,@9000,"Beschütze Feldheim, während er die Magie auf dem versiegelten Heiligen Artefakt entfernt, und erledige den Dungeon, um den Beschwörungsstein zu erhalten."
9014,Beschwörungskreis II,@9000,@9001,@9013
9015,Beschwörungskreis III,@9000,@9002,@9013
9016,Beschwörungskreis IV,@9000,@9003,@9013
9017,Veredelungsstein-Dungeon I,@9000,@9000,"Zerstöre das Dimensionstor, das Monster beschwört, um Belohnungen zu erhalten."
9018,Veredelungsstein-Dungeon II,@9000,@9001,@9017
9019,Veredelungsstein-Dungeon III,@9000,@9002,@9017
9020,Veredelungsstein-Dungeon IV,@9000,@9003,@9017
11100,Uralte Zuflucht I,Verbesserungsstein-Auswahlkiste,"Wird verwendet, um 1 Verbesserungsstein-Auswahlkiste zu erhalten.",
11101,Uralte Zuflucht II,@11100,"Wird verwendet, um 2 Verbesserungsstein-Auswahlkisten zu erhalten.",
11102,Uralte Zuflucht III,@11100,"Wird verwendet, um 3 Verbesserungsstein-Auswahlkisten zu erhalten.",
11103,Uralte Zuflucht IV,@11100,"Wird verwendet, um 4 Verbesserungsstein-Auswahlkisten zu erhalten.",
11104,Uralte Zuflucht V,Leuchtende Verbesserungsstein-Auswahlkiste,"Wird verwendet, um 1 Leuchtende Verbesserungsstein-Auswahlkiste zu erhalten.",
11200,Aufspürerzuflucht I,Schriftrolle: Waffenaufwertung,"Wird verwendet, um 1 Schriftrolle: Waffe zu erhalten",
11201,Aufspürerzuflucht II,@11200,"Wird verwendet, um 2 Schriftrollen: Waffe zu erhalten.",
11202,Aufspürerzuflucht III,@11200,"Wird verwendet, um 3 Schriftrollen: Waffe zu erhalten.",
11203,Aufspürerzuflucht IV,@11200,"Wird verwendet, um 4 Schriftrollen: Waffe zu erhalten.",
11204,Aufspürerzuflucht V,Waffen- & Reitbegleiterausrüstungs-Aufwertungsrolle,"Wird verwendet, um 5 Waffen-Aufwertungsrollen und
1 Reitbegleiterausrüstungs-Aufwertungsrolle zu erhalten.",
11300,Kriegerzuflucht I,Waffen-Verbesserungsstein,"Wird verwendet, um 1 Waffen-Verbesserungsstein zu erhalten.",
11301,Kriegerzuflucht II,@11300,"Wird verwendet, um 2 Waffen-Verbesserungssteine zu erhalten.",
11302,Kriegerzuflucht III,@11300,"Wird verwendet, um 3 Waffen-Verbesserungssteine zu erhalten.",
11303,Kriegerzuflucht IV,@11300,"Wird verwendet, um 4 Waffen-Verbesserungssteine zu erhalten.",
11304,Kriegerzuflucht V,Leuchtender Waffen-Verbesserungsstein,"Wird verwendet, um 1 Leuchtenden Waffen-Verbesserungsstein zu erhalten.",
11400,Bestienzuflucht I,Schriftrolle: Rüstungsaufwertung,"Wird verwendet, um 1 Schriftrolle: Rüstung zu erhalten.",
11401,Bestienzuflucht II,@11400,"Wird verwendet, um 2 Schriftrollen: Rüstung zu erhalten.",
11402,Bestienzuflucht III,@11400,"Wird verwendet, um 3 Schriftrollen: Rüstung zu erhalten.",
11403,Bestienzuflucht IV,@11400,"Wird verwendet, um 4 Schriftrollen: Rüstung zu erhalten.",
11404,Bestienzuflucht V,Rüstungs- & Reitbegleiterausrüstungs-Aufwertungsrolle,"Wird verwendet, um 5 Rüstungs-Aufwertungsrollen und
1 Reitbegleiterausrüstungs-Aufwertungsrolle zu erhalten.",
11500,Monsterzuflucht I,Rüstung-Verbesserungsstein,"Wird verwendet, um 1 Rüstung-Verbesserungsstein zu erhalten.",
11501,Monsterzuflucht II,@11500,"Wird verwendet, um 2 Rüstung-Verbesserungssteine zu erhalten.",
11502,Monsterzuflucht III,@11500,"Wird verwendet, um 3 Rüstung-Verbesserungssteine zu erhalten.",
11503,Monsterzuflucht IV,@11500,"Wird verwendet, um 4 Rüstung-Verbesserungssteine zu erhalten.",
11504,Monsterzuflucht V,Leuchtender Rüstung-Verbesserungsstein,"Wird verwendet, um 1 Leuchtenden Rüstung-Verbesserungsstein zu erhalten.",
11600,Feindeszuflucht I,Schriftrolle: Accessoireaufwertung,"Wird verwendet, um 1 Schriftrolle: Accessoire zu erhalten.",
11601,Feindeszuflucht II,@11600,"Wird verwendet, um 2 Schriftrollen: Accessoire zu erhalten.",
11602,Feindeszuflucht III,@11600,"Wird verwendet, um 3 Schriftrollen: Accessoire zu erhalten.",
11603,Feindeszuflucht IV,@11600,"Wird verwendet, um 4 Schriftrollen: Accessoire zu erhalten.",
11604,Feindeszuflucht V,Accessoire- & Reitbegleiterausrüstungs-Aufwertungsrolle,"Wird verwendet, um 5 Accessoire-Aufwertungsrollen und
1 Reitbegleiterausrüstungs-Aufwertungsrolle zu erhalten.",
11700,Erinnerungszuflucht I,Accessoire-Verbesserungsstein,"Wird verwendet, um 1 Accessoire-Verbesserungsstein zu erhalten.",
11701,Erinnerungszuflucht II,@11700,"Wird verwendet, um 2 Accessoire-Verbesserungssteine zu erhalten.",
11702,Erinnerungszuflucht III,@11700,"Wird verwendet, um 3 Accessoire-Verbesserungssteine zu erhalten.",
11703,Erinnerungszuflucht IV,@11700,"Wird verwendet, um 4 Accessoire-Verbesserungssteine zu erhalten.",
11704,Erinnerungszuflucht V,Leuchtender Accessoire-Verbesserungsstein,"Wird verwendet, um 1 Leuchtenden Accessoire-Verbesserungsstein zu erhalten.",
12001,Turm der Anmaßung Etage {IntParam},@9000,,
12002,@12001,Aufwertungsrolle,,
12003,@12001,Blutzeugnis,,
12004,@12001,Seelenkristall,,
12005,@12001,Adena,,
12006,@12001,Ausrüstungsziehungsticket,,
12007,@12001,@9000,,
12008,@12001,@12002,,
12009,@12001,@12003,,
12010,@12001,@12004,,
12011,@12001,@12005,,
12012,@12001,@12006,,
12013,@12001,@9000,,
12014,@12001,@12002,,
12015,@12001,@12003,,
12016,@12001,@12004,,
12017,@12001,@12005,,
12018,@12001,@12006,,
12019,@12001,@9000,,
12020,@12001,@12002,,
12021,@12001,@12003,,
12022,@12001,@12004,,
12023,@12001,@12005,,
12024,@12001,@12006,,
12025,@12001,@9000,,
12026,@12001,@12002,,
12027,@12001,@12003,,
12028,@12001,@12004,,
12029,@12001,@12005,,
12030,@12001,@12006,,
12031,@12001,@12006,,
12032,@12001,@12006,,
12033,@12001,@12006,,
12034,@12001,@12006,,
12035,@12001,@12006,,
12036,@12001,@12006,,
12037,@12001,@12006,,
12038,@12001,@12006,,
12039,@12001,@12006,,
12040,@12001,@12006,,
12041,@12001,@12006,,
12042,@12001,@12006,,
12043,@12001,@12006,,
12044,@12001,@12006,,
12045,@12001,@12006,,
12046,@12001,@12006,,
12047,@12001,@12006,,
12048,@12001,@12006,,
12049,@12001,@12006,,
12050,@12001,@12006,,
12051,@12001,@12006,,
12052,@12001,@12006,,
12053,@12001,@12006,,
