Id,Text
1,Jagd
2,Quest
3,Elixier herstellen
4,Vergessene Schriftrolle herstellen
5,Erfolg
6,Pausenbonus
7,Jetzt abschließen
8,Freundsch.-L.
9,Beschw.-L.
10,Verbrauchsg.-L.
11,Adena-Laden
12,Topasladen
13,Paketladen
14,Treuepunktladen
15,Diamanten aufladen
16,Tägliche Diamanten
17,Login-Paket
18,Stärkungspaket
19,Elite-Dungeon
20,Tagesdungeon
21,Turm der Anmaßung
22,Entnahme-Dungeon
23,Arena
24,Freund
25,Klanladen
26,Klan-Geschenkladen
27,Klanerfolg
28,Blauer Diamant-Laden
29,Klan-Spende
30,Klanmitglieder grüßen
31,Tagesaktivitäten
32,Ehrenhaftes Schlachtfeld
33,Courage-Schlachtfeld
34,Uraltes Schlachtfeld
35,Klanhallen-Quest
36,"Normal, benannt"
37,Weltboss
38,Feldboss
39,@20
40,Binden
41,Verwerten
42,Tempelwächter
43,Adena-Dungeon
44,Beschwörungs-Kreis
45,Klanhallen-Relikt
46,Schatztruhe
47,Eroberungsladen
48,Burgbelagerungsfest
49,Schrift.-Laden
50,Events
51,Reise-Event
52,Web-Event
53,Login-Belohnung
54,Hilfe leisten
55,Burgbelagerung
56,Festenbelagerung
57,Kern verwerten
58,Seelenkristall
59,Austauschen
60,Offene Belagerung
61,Zeit-Rift
62,Halle des Eroberers
63,Klan-Dungeon
