Id,Name,Description,DescParam
1000100,Erstes Abenteuer,"Der erste Titel, den Helden zu Beginn ihres Abenteuers erhalten.",
1000200,Top-Spender,"Wird bei Abschluss des Erfolges ""Was mein ist, ist auch unser (Ebene {DescParam})"" aktiviert.",10
1000300,Allzeit bereit,"Wird bei Abschluss des Erfolges ""Ich denke immer daran (Ebene {DescParam})"" aktiviert.",10
1000400,Beste Freunde,"Wird bei Abschluss des Erfolges ""Meine Freunde sind es wert (Ebene {DescParam})"" aktiviert.",10
1000500,Top 1 %,"Wird bei Abschluss des Erfolges ""Für Kleingeld nichts übrig (Ebene {DescParam})"" aktiviert.",10
1000600,Monsterjäger,"Wird bei Abschluss des Erfolges ""Unbedachter Jäger (Ebene {DescParam})"" aktiviert.",11
1000800,Wettstreiter-Grünschnabel,"Wird erlangt, wenn du Rang #{DescParam} oder höher in den Arenaranglisten belegst.",10000
1000900,Machtanhänger,"Wird erlangt, wenn du Rang #{DescParam} oder höher in den Kampfkraftranglisten belegst.",10000
1001000,Forscher-Assistent,"Wird erlangt, wenn du Rang #{DescParam} oder höher in den Levelranglisten belegst.",10000
1001200,Fortschrittsmeister,"Wird bei Abschluss des Erfolges ""Mehr als nur Nahrung (Ebene {DescParam})"" aktiviert.",10
1001300,Seelenjäger,"Wird bei Abschluss des Erfolges ""So viel Glitzer (Ebene {DescParam})"" aktiviert.",10
1001400,Taschenverwalter,"Wird bei Abschluss des Erfolges ""Streicheleinheiten sind das A und O (Ebene {DescParam})"" aktiviert.",10
1001500,Sammler,"Wird bei Abschluss des Erfolges ""Kein Müllmann, aber ... (Ebene {DescParam})"" aktiviert.",10
1001600,Alchemist,"Wird bei Abschluss des Erfolges ""Was mich zum Leuchten bringt (Ebene {DescParam})"" aktiviert.",10
1001700,Duellant,"Wird bei Abschluss des Erfolges ""Zeichen des Sieges (Ebene {DescParam})"" aktiviert.",10
1001800,Zugexperte,"Wird bei Abschluss des Erfolges ""Glück ist nicht Können (Ebene {DescParam})"" aktiviert.",10
1001900,Kernjäger,"Wird bei Abschluss des Erfolges ""Beutesammlung (Ebene {DescParam})"" aktiviert.",10
2000200,Wettstreit-Experte,@1000800,5000
2000300,Abenteurer,@1000900,5000
2000400,Top-Forscher,@1001000,5000
