Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,Östliche Sprechende Insel,{ReplaceString1}-Aufklärung,Östliche Sprechende Insel,Bes. {ReplaceString2} Mons.,Besiege {TaskCount} Monster auf der Östlichen Sprechenden Insel.
2,Westliche Sprechende Insel,@1,Westliche Sprechende Insel,@1,Besiege {TaskCount} Monster auf der Westlichen Sprechenden Insel.
3,Gludin-Straße,@1,Gludin-Straße,@1,Besiege {TaskCount} Monster der Gludin-Straße.
4,Gludio-Ebenen,@1,Gludio-Ebenen,@1,Besiege {TaskCount} Monster der Gludio-Ebenen.
5,Windawood-Anwesen,@1,Windawood-Anwesen,@1,Besiege {TaskCount} Monster des Windawood-Anwesens.
6,Einöde,@1,Einöde,@1,Besiege {TaskCount} Monster der Einöde.
7,Dion-Ebenen,@1,Dion-Ebenen,@1,Besiege {TaskCount} Monster der Dion-Ebenen.
8,Cruma-Sumpf,@1,Cruma-Sumpf,@1,Besiege {TaskCount} Monster des Cruma-Sumpfes.
9,Gipfel des Missklangs,@1,Gipfel des Missklangs,@1,Besiege {TaskCount} Monster des Gipfels des Missklangs.
10,Kreischendes Heiligtum,@1,Kreischendes Heiligtum,@1,Besiege {TaskCount} Monster des Kreischenden Heiligtums.
11,Giran-Reich,@1,Giran-Reich,@1,Besiege {TaskCount} Monster des Giran-Reiches.
12,Tödliche Nebelküste,@1,Tödliche Nebelküste,@1,Besiege {TaskCount} Monster der Tödliche Nebelküste.
13,Teufelsinsel,@1,Teufelsinsel,@1,Besiege {TaskCount} Monster der Teufelsinsel.
14,@13,@1,@13,@1,@13
15,Ruhelose Totenstadt,@1,Ruhelose Totenstadt,@1,Besiege {TaskCount} Monster der Ruhelosen Totenstadt.
16,@15,@1,@15,@1,@15
101,Elfenruinen 1,Auto-Erledige {ReplaceString1},Elfenruinen 1,@1,Besiege {TaskCount} Monster in Elfenruinen 1.
102,Elfenruinen 2,@101,Elfenruinen 2,@1,Besiege {TaskCount} Monster in Elfenruinen 2.
103,Ameisennest 1,@101,Ameisennest 1,@1,Besiege {TaskCount} Monster im Ameisennest 1.
104,Ameisennest 2,@101,Ameisennest 2,@1,Besiege {TaskCount} Monster im Ameisennest 2.
105,Cruma-Turm Etage 2,@101,Cruma-Turm Etage 2,@1,Besiege {TaskCount} Monster der Etage 2 des Cruma-Turms.
106,Cruma-Turm Etage 3,@101,Cruma-Turm Etage 3,@1,Besiege {TaskCount} Monster der Etage 3 des Cruma-Turms.
107,Elfenbeinturm Katakombe 1,@101,Elfenbeinturm Katakombe 1,@1,Besiege {TaskCount} Monster der Katakombe 1 des Elfenbeinturms.
108,@107,@101,@107,@1,@107
109,Elfenbeinturm Katakombe 2,@101,Elfenbeinturm Katakombe 2,@1,Besiege {TaskCount} Monster der Katakombe 2 des Elfenbeinturms.
110,@109,@101,@109,@1,@109
111,Elfenbeinturm Katakombe 3,@101,Elfenbeinturm Katakombe 3,@1,Besiege {TaskCount} Monster der Katakombe 3 des Elfenbeinturms.
112,@111,@101,@111,@1,@111
