Id,Name,Description,DescParam
1000100,Начало приключения,"Первое звание, выдаваемое герою в начале приключения.",
1000200,Самый щедрый,Активируется после выполнения достижения «Мое - значит наше (ур. {DescParam})».,10
1000300,Хорошая посещаемость,Активируется после выполнения достижения «Помню о вас (ур. {DescParam})».,10
1000400,Между любовью и дружбой,Активируется после выполнения достижения «Для друзей не жалко (ур. {DescParam})».,10
1000500,Верхний 1%,Активируется после выполнения достижения «Карманная мелочь (ур. {DescParam})».,10
1000600,Охотник на монстров,Активируется после выполнения достижения «Опытный охотник (ур. {DescParam})».,11
1000800,Соперник-новичок,Получается при получении ранга {DescParam} или выше в рейтинге Арены.,10000
1000900,Последователь силы,Получается при получении ранга {DescParam} или выше в рейтинге боевой мощи.,10000
1001000,Исследователь-помощник,Получается при получении ранга {DescParam} или выше в рейтинге уровней.,10000
1001200,Мастер повышения,"Активируется после выполнения достижения «Больше, чем просто еда (ур. {DescParam})».",10
1001300,Охотник за душами,"Активируется после выполнения достижения «Все, что блестит (ур. {DescParam})».",10
1001400,Снарядитель ездовых животных,Активируется после выполнения достижения «Нужна нежная работа (ур. {DescParam})».,10
1001500,Сборщик,"Активируется после выполнения достижения «Не мусорщик, но... (ур. {DescParam})».",10
1001600,Алхимик,Активируется после выполнения достижения «Чистое сияние (ур. {DescParam})».,10
1001700,Дуэлянт,Активируется после выполнения достижения «Знак победы (ур. {DescParam})».,10
1001800,Мастер рисования,Активируется после выполнения достижения «Удаче не научишь (ур. {DescParam})».,10
1001900,Охотник за ядрами,Активируется после выполнения достижения «Сбор трофеев (ур. {DescParam})».,10
2000200,Соперник-эксперт,@1000800,5000
2000300,Путешественник,@1000900,5000
2000400,Лучший исследователь,@1001000,5000
2000600,Дневник монстра,Активируется после выполнения достижения «{DescParam})».,Бестиарий Земель Плача
2000700,Любитель ценностей,Активируется после выполнения достижения «Видали такое? (ур. {DescParam})».,10
2000900,Счастливчик,Активируется после выполнения достижения «Желаем удачи (ур. {DescParam})».,10
2001000,Инструктор ездовых животных,Активируется после выполнения достижения «Сильнее и свирепее (ур. {DescParam})».,10
2001100,Защита духа,"Активируется после выполнения достижения «То, что нужно в бою (ур. {DescParam})».",10
2001200,Криминалист,Активируется после выполнения достижения «Чужая кровь (ур. {DescParam})».,10
2001300,Осторожность прежде всего,Активируется после выполнения достижения «Средства безопасности (ур. {DescParam})».,10
2001400,Мастер маскировки,Активируется после выполнения достижения «Страсть к совершенству (ур. {DescParam})».,10
2001500,Мастер оружия,Активируется после выполнения достижения «Родом из легенды (ур. {DescParam})».,10
2001600,Мастер брони,Активируется после выполнения достижения «Свиток мечты (ур. {DescParam})».,10
2001800,Комбинатор,Активируется после выполнения достижения «Совершенству нет предела (ур. {DescParam})».,10
2001900,Мастер драгоценностей,Активируется после выполнения достижения «Мой любимый свиток (ур. {DescParam})».,10
2002000,Убийца,Активируется после выполнения достижения «Победитель легендарного монстра (ур. {DescParam})».,10
2002100,Мастер улучшения,Активируется после выполнения достижения «Совсем другое дело (ур. {DescParam})».,10
3000200,Решит. соперник,@1000800,100
3000300,Грозный завоеватель,@1000900,100
3000500,Эруд.исследователь,@1001000,100
3000900,Специалист,Активируется после выполнения достижения «Таких ни у кого нет (ур. {DescParam})».,10
3001000,Превыситель лимита,Активируется после выполнения достижения «Все самое лучшее (ур. {DescParam})».,10
3100100,Командир крепости,"Получается, если вы - {DescParam} правящего клана крепости.
(Сохраняется при удовлетворении условий.)",Старейшина
3100200,Стражник крепости,@3100100,- Член клана:
4100100,Комендант крепости,@3100100,Лидер
4101000,Десять претендентов,"Выдается при получении ранга {DescParam} или выше в рейтинге Арены.
(Сохраняется при удовлетворении условиям.)",10
4101100,Десять завоевателей,"Выдается при получении ранга {DescParam} или выше в рейтинге боевой мощи.
(Сохраняется при удовлетворении условиям.)",10
4101200,Признанный исслед.,"Выдается при получении ранга {DescParam} или выше в рейтинге уровней.
(Сохраняется при удовлетворении условиям.)",10
5100200,Король дуэлей,"Выдается при получении ранга {DescParam} в рейтинге Арены.
(Сохраняется при удовлетворении условиям.)",1
5100300,Сильнее всех,"Выдается при получении ранга {DescParam} в рейтинге боевой мощи.
(Сохраняется при удовлетворении условиям.)",1
5100400,Просвещенный,"Выдается при получении ранга {DescParam} в рейтинге уровней.
(Сохраняется при удовлетворении условиям.)",1
30000000,Главный пионер,"Ограниченное издание предлагается игрокам, прошедшим предварительную регистрацию.",
30000010,Покровитель клана,"Почетный титул, который дается членам клана, оказавшим ему очень ценные услуги.",
