GuildRecordType,GuildRecordString
0,Член клана [Param1] жертвует адены (кол-во: [Param2]).
1,[Param1] жертвует [Param2] Зн. Крови.
2,Положит. эфф. клана [Param1] достиг ур. [Param2].
3,<FontYellow>Клан достиг уровня [Param1].</>
4,"<FontRed>Объявлена война</>, противник - [Param1]."
6,<FontBlue>Заключен союз</> с кланом [Param1].
7,Союз с кланом [Param1] <FontRed>расторгнут</>.
8,Член клана [Param1] отныне - [Param2].
10,[Param1] <FontBlue>вступает</> в клан.
11,[Param1] <FontRed>выходит</> из клана.
12,<FontYellow>[Param1] уплачивает налог коробками с алмазами (кол-во: [Param2]).</>
13,Подземелье клана <FontBlue>[Param1]</> успешно пройдено.
14,Получено достижение клана: <FontGreen>[Param1]</>.
15,<FontYellow>Отныне [Param1] находится в вашей власти.</>
16,@CastleAcquired
17,<FontGreen>Подарок</> чл. клана [Param1]: [Param3]x[Param2].
18,<FontGreen>Приз</> чл. клана [Param1]: [Param3]x[Param2].
19,<FontBlue>Вы выдали награду</> ([Param1] x[Param2]) всем членам клана.
20,Вы <FontBlue>выиграли</> войну с кланом [Param1].
21,Вы <FontRed>проиграли</> войну с кланом [Param1].
22,Вы добились ничьей в войне с кланом [Param1].
23,Лорд [Param1] делает покупку в магазине осады замка: это [Param2].
24,Член клана [Param1] жертвует красные алмазы (кол-во: [Param2]).
9,[Param1] <FontRed>автоматически назначает</> новым лордом игрока по имени [Param2].
25,<FontYellow>Вы приобрели Холл клана.</>
26,<FontYellow>Холл клана достиг уровня [Param1].</>
27,<FontYellow>Кристалл единства достиг уровня [Param1].</>
28,[Param1] выйдет из числа ваших владений.
29,[Param1] выходит из числа ваших владений.
30,Война с кланом [Param1] завершилась мирным соглашением.
