Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,Портовый мастер Психея,"Добро пожаловать. Первый раз на Говорящем острове? Если тут нажать, то все задания автоматизируются."
4001,,
4002,Капитан наемников Дуглас,Авто. выполн. зад-я остан. после его завершения. Начните след. задание.
6001,@4002,Хорошо. У вас талант. Попробуем другое задание.
11001,Начальник стражи Гарольд,Все ваши предметы находятся в инвентаре.
11002,,
11003,@11001,Автоэкипировка - это быстрый и удобный способ установить лучшее снаряжение.
11004,,
11005,@11001,"Эта функция удобна для искателей приключений-новичков, таких как вы, поэтому пользуйтесь."
11006,,
12001,Фельдхейм,<YellowBold>Заряды души</> обеспечивают более сильные атаки.
12002,@12001,Начните с автоматического использования зарядов души.
12003,@12001,Заряды души используются только <YellowBold>во время атаки</>.
12004,@12001,В остальное время они остаются с вами и никуда не исчезают.
12005,@12001,Не хотите использовать их автоматически? Нажмите еще раз.
12006,@12001,"<YellowBold>Заряды души доступны в магазине</>, поэтому поддерживайте запас!"
12007,,
13001,Ния,Теперь о ежедневных подземельях.
13002,@13001,Вход можно найти в меню «Подземелья».
13003,@13001,Нажмите здесь.
13004,@13001,Видите все эти подземелья?
13005,@13001,"Если будете тренироваться, скоро сможете отправиться туда!"
13006,@13001,А сейчас посмотрим на ежедневное подземелье.
13007,@13001,В <YellowBold>ежедневных подземельях</> <YellowBold>каждый день появляются разные монстры</>.
13008,@13001,"Побеждайте их, чтобы получать <YellowBold>особые награды</>!"
13009,@13001,"За более сильных монстров вы получите лучшие награды, поэтому работайте над своими навыками."
13010,@13001,Идем дальше!
13011,,
13012,,
13013,,
13014,@13001,"Если вам нужна помощь, можно использовать автобитву."
13015,,
13016,,
13017,,
13018,@13001,Ух ты! Вы нокаутировали сильного противника!
13019,,
13020,@13001,"Выполнять вход можно несколько раз в день, но не беспокойтесь! Число <YellowBold>сбрасывается каждый день</>."
13021,,
13022,,
13023,@13001,"Если вы проиграете, <YellowBold>вход не будет засчитан</>, поэтому не бойтесь бросать себе вызов!"
13024,@13001,Хорошая попытка. Повезет в другой раз!
13025,,
14001,Архонт Даниэль,А теперь проверим ваши достижения и получим награды.
14002,@14001,Сначала зайдем в меню вызовов.
14003,@14001,Затем перейдем в «Достижения».
14004,@14001,Подтвердите свои <YellowBold>достижения</> и получите за них <YellowBold>награды</>.
14005,@14001,"Похоже, вы проделали большую работу. У вас уже есть несколько <YellowBold>достижений</>."
14006,@14001,Теперь получите эту награду.
14007,,
14008,@14001,Отлично. Вы будете получать <YellowBold>звания и способности</> за достойные поступки.
14009,@14001,Поэтому почаще заглядывайте для выполнения обновлений.
14010,@14001,"Продолжайте упорно работать, и ваши усилия будут вознаграждены."
14011,@14001,Выше уровень достижений - сильнее ваши способности. А в качестве ежедн. награды вы будете получать припасы.
14012,@14001,Будьте внимательны <YellowBold>к различным типам достижений</> и не игнорируйте никакие из них.
14013,,
15001,Торговка Анаис,В магазине можно приобрести полезные припасы.
15002,@15001,@13003
15003,@15001,"Например, такие как справа. Запомните как они выглядят - это вам поможет в дальнейшем!"
15004,@15001,Чего вы ждете? Открывайте!
15005,,
15006,@15001,Ух ты! Какое великолепное снаряжение!
15007,@15001,"А вы знаете, как улучшить снаряжение? Нужно <YellowBold>поднять его уровень</>!"
15008,@15001,"Вы будете получать <YellowBold>одну бесплатную коробку с высококачественным снаряжением каждый день</>, поэтому не забывайте заглядывать!"
15009,,
