Id,Value,ButtonString1,ButtonString2
1,[ChatString],,
2,Вы переподключились к серверу.,,
3,Группа создана.,,
4,Вы присоединились к группе.,,
5,<FontGreen>[Name]</> присоединяется к группе.,,
6,Вы покинули группу.,,
7,<FontGreen>[Name]</> покидает группу.,,
8,Вы исключены из группы.,,
9,<FontGreen>[Name]</> исключается из группы.,,
10,Вы стали лидером группы.,,
11,<FontGreen>[Name]</> назначается новым лидером группы.,,
12,Группа распущена.,,
13,"<FontGreen>[Name]</> приглашает вас вступить в свою группу.
Вступить в группу? <FontRed>[Seconds]</> с.",Отказ,Присоед.
14,Вы отказались присоединиться к группе.,,
15,"Подана заявка на присоединение к вашей группе.
Хотите ее одобрить? <FontRed>[Seconds]</> сек.",@13,Принято
16,Автонабор в группу отменен.,,
17,"Местоположение: <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontBlue>[Name]</> хочет начать приключение. Готовы? <FontRed>[Seconds]</> с.",@13,Принято
18,"Местоположение: <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</>
Вы войдете в подземелье <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</> через <FontRed>[Seconds]</> с.
Будьте готовы к бою.",,
19,"Местоположение: <FontGreen>[WorldName]</>
<FontBlue>[Name]</> хочет призвать вас.
Принять призыв? <FontRed>[Seconds]</> с.",Пешком,Через портал
20,@19,Закрыть,Вход
21,"Местоположение: <FontGreen>[WorldName]</>
Хотите перейти к месту сбора группы? <FontRed>[Seconds]</> с.",@19,@19
22,@21,@20,@20
23,"<FontYellow>[Battlefield]</>: создана группа. 
Выходите на поле боя <FontBlue>в одиночку</> или в <FontBlue>группе</> с другими игроками.",,
24,<FontYellow>[Battlefield]</> присоединяется к группе.,,
25,<FontGreen>[Name]</> присоединяется к группе <FontYellow>[Battlefield]</>.,,
26,Группа <FontYellow>[Battlefield]</> распущена.,,
27,<FontYellow>[Battlefield]</> покидает группу.,,
28,<FontGreen>[Name]</> покидает группу <FontYellow>[Battlefield]</>.,,
29,"<FontGreen>[Name]</>([Power]) приглашает вас вступить в свою группу поля боя.
Вступить в группу <FontYellow>[Battlefield]</>? <FontRed>[Seconds]</> с.",@13,@15
30,"Подбор <FontYellow>[BattlefieldType]</> завершен.
Вход на поле боя через <FontRed>[Seconds]</> с. Приготовьтесь к бою.",,
31,[Name] предлагает дружить.,Друг,
32,Ваш новый друг - [Name].,@31,
33,<FontYellow>Лидер клана изменил эмблему клана.</>,,
34,Лидер клана по имени [Name] изменил свое имя на <FontGreen>[Name2]</>,,
35,<FontGreen>[Param1]</> вошел в игру.,,
36,<FontGreen>[Name]</> жертвует <FontGreen>[Count] [AssetsType]</> для членов клана.,,
37,<FontGreen>[Param1]</> <FontBlue>вступает</> в клан.,,
38,<FontGreen>[Param1]</> <FontRed>выходит</> из клана.,,
39,<FontGreen>[Name]</> <FontRed>исключается</> из клана.,,
40,Клан <FontBlue>[GuildName]</> отправил приглашение.,@13,@17
41,<FontBlue>[Name]</> отказывается от приглашения.,,
42,<FontYellow>Поступила новая заявка на вступление в клан.</>,Клан,
43,Вы вступили в клан <FontBlue>[GuildName]</>.,@42,
44,Клан <FontBlue>[GuildName]</> <FontRed>отклонил</> вашу заявку на вступление.,,
45,Покидает клан.,,
46,<FontGreen>[Param1]</> получает ранг <FontBlue>[Param2]</>,,
47,<FontGreen>[Param1]</> назначается новым лидером клана.,,
48,<FontGreen>[Param1]</> назначается новым лидером клана в связи с долговременным отсутствием предыдущего лидера.,,
49,[Param1] награждает игрока по имени <FontGreen>[Param2]</>.,,
50,[Param1] преподносит награды <FontGreen>всем членам клана.</>,,
51,"[Param1] преподносит награды <FontGreen>[Param3] членам</>, включая [Param2].",,
52,Подарок клану получен от <FontGreen>[Name]</>.,Почт. ящик,
53,"<FontGreen>[Name]</> требует возмездия.
Получатель: [Name2] из <FontRed>клана [GuildName]</>.",@20,@19
54,"<FontGreen>[Name]</> требует возмездия.
Получатель: [Name] из <FontRed>клана [GuildName]</>.",@20,@20
55,"<FontGreen>[Name]</> требует возмездия.
Получатель: <FontRed>[Name2]</>",@20,@19
56,"<FontGreen>[Name]</> требует возмездия.
Получатель: [Name] из <FontRed>клана [GuildName]</>.",@20,@20
57,<FontBlue>Заключен</> союз с кланом <FontBlue>[Param1]</>.,,
58,Союз с <FontBlue>[Param1]</> <FontRed>расторгнут</>.,,
59,Объявлена <FontRed>война</> с <FontBlue>[Name]</>.,,
60,Предложение прекратить в войну с <FontBlue>[GuildName]</> <FontRed>отклонено</>.,,
61,<FontBlue>[GuildName]</> <FontRed>отклоняет</> предложение прекратить войну..,,
62,Предложение прекратить в войну с <FontBlue>[Name]</> <FontGreen>принято</>.,,
63,Битва с <FontBlue>[Name]</> закончилась <FontBlue>победой</>.,,
64,Битва с <FontBlue>[Name]</> закончилась <FontRed>поражением</>.,,
65,<FontYellow>Клан достиг уровня [Param1]</>.,,
66,<FontYellow>Положительный эффект клана [Name] достиг уровня [param]</>.,,
67,Лорд [Name] покупает предмет <FontGreen>[Item]</> в магазине <FontGreen>[ShopName]</>.,,
68,<FontYellow>[Param1] успешно пройден.</>,Достижение клана,
69,"Вас зовет лидер клана из <FontGreen>[DungeonName]</>
Принять?",@20,@20
70,<FontYellow>[GuildDungeonName]([Difficulty]) сброшено.</>,Подземелье кл.,
71,<FontYellow>[Param1]:</> обновите цену ставки!,Осада крепости,
72,@71,Осада замка,
73,<FontYellow>[Param1]:</> цена ставки увеличена.,@71,
74,@73,@72,
75,"Осада началась.
<FontGreen>[FortressName]</> ждет, вы хотите войти?",@20,@20
76,"Началась осада замка.
Войти в <FontGreen>[CastleName]</>?",@20,@20
77,<FontYellow>Лидер клана отдал владение [Name].</>,,
78,Лидер клана выбрал <FontBlue>[Name]</> в качестве <FontYellow>[CastleType]</>.,,
79,<FontYellow>Холл клана достиг уровня [Level].</>,,
80,<FontYellow>Кристалл единства в холле клана достиг уровня [param].</>,,
81,Игроком <FontGreen>[Name]</> выполнено для клана задание холла клана.,,
82,Игроком <FontGreen>[Name]</> подготовлен <FontBlue>пир</> в холле клана.,@20,@20
83,<FontYellow>[Value] Мистическая реликвия отправляется в хранилище клана.</>,,
84,[NAME] создает [COUNT]<FontGreen>[POTION_NAME]</>.,,
85,<FontYellow>Камин холла клана ярко пылает.</>,@20,@20
86,<FontYellow>Камин холла клана разгорается.</>,@20,@20
87,<FontYellow>Тепло камина угасает.</>,,
88, <FontRed>Исключается</> из клана.,,
89,"Осада крепости началась!
Войти в <FontGreen>[FortressName]</>?",@20,@20
90,"Осада замка началась!
Войти в <FontGreen>[CastleName]</>?",@20,@20
91,"Местоположение: <FontGreen>[WorldName]</>
<FontBlue>[Name]</> хочет призвать вас.
Отправиться сейчас? <FontRed>[Seconds]</> с",@13,@17
92,"Количество действий ограничено, поскольку игрок не является участником группы.
Автоматический выход из временного разлома через 15 секунд.",Уйти,
93,<FontYellow>Срок действия предмета события [EventName] истек.</>Предмет удален из инвентаря.,,
94,"Группа для <FontYellow>открытой осады</> создана.
Отправляйтесь на открытую осаду <FontGreen>в одиночку</> или <FontGreen>в группе</>.",,
95,Вы вступили в группу для <FontYellow>открытой осады</>.,,
96,<FontGreen>[Name]</> присоединяется к <FontYellow>открытой осаде</>.,,
97,Группа для <FontYellow>открытой осады</> распущена.,,
98,Вы покинули группу для <FontYellow>открытой осады</>.,,
99,<FontGreen>[Name]</> покидает группу для <FontYellow>открытой осады</>.,,
100,"<FontGreen>[Name]</> приглашает вас в группу для открытой осады.
Принять приглашение в группу <FontYellow>открытой осады</>? <FontRed>[Seconds]</> с.",@13,@15
101,"Подбор участников <FontYellow>открытой осады</> выполнен.
Открытая осада начинается через <FontRed>[Seconds]</> с. Готовьтесь к битве.",,
1000,Выполняется вход.,,
