Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,Эльфийск. Руины 1,,,"Здесь наход. академия, где эльфы обучали людей магии, где начался путь человеч. расы к власти над континентом."
201,Эльфийск. Руины 2,,,"При власти эльфов этот этаж был доступен лишь талантливым людям. М. энергия здесь была сильней, чем на 1 эт."
202,Муравейник 1,,,Эта пещера - обиталище приспособившихся к выживанию в Пустоши гигантских муравьев - порождена огромным взрывом черной магии.
203,Муравейник 2,,,"Муравьи превратили ее в сложнейший лабиринт, в котором хранят свои драгоценные запасы. Никто, кроме муравьев, не может найти в нем дорогу."
204,Башня Крумы 2,,,"Передвижная крепость, где древние проводили биологи. эксп.,для создания новой ф. жизни. Нужен для защиты лаб-рии."
205,Башня Крумы 3,,,Здесь располагается множество лаб-рий для биол.иссл. Он полон маг.энергии гигантов.
206,Б. Слон.Кости 1,,,"Простр., обр. при падении на землю мет. Небулит. Оно служило лабораторией и библиотекой, но было закрыто после инцидента с Неистовыми Магами."
207,Б. Слон.Кости 2,,,"Здесь когда-то была алхимическая лаборатория, но сейчас всё заросло твердыми, похожими на камень грибами."
208,Б. Слон.Кости 3,,,Здесь находится метеорит Небулит. Действие небулита увеличивает силу монстров.
209,Подземная лабор. Б. Слон.Кости,,,"Это помещение служит обезумевшему от небулита магу Башни Слоновой Кости одновременно и лабораторией, и темницей. Здесь можно встретить множество его подопытных."
210,Полог Леса Секретов,,,"Тут в свое время жили феи. Но они откочевали подальше от шума сражений, и их место заняли монстры."
211,Подлесок Леса Секретов,,,"Лес Секретов разросся настолько, что солнечный свет перестал проникать под его сень, и там завелись монстры."
212,Место Бойни Леса Секретов,,,Здесь нашли свой последний приют жертвы охоты на фей. С тех пор тут всегда висит мрачный кроваво-красный туман.
4000,Сад Радужной чешуи (тест),,,
