Type,Name
0,Ф. атк.
1,М. атк.
2,Прирост ф. атаки
3,Прирост м. атаки
4,Прирост обычной атк.
5,"Прирост атк. в зав.
от членов группы"
6,Прирост скорости атк.
7,Боевая мощь
126,Замедление перезарядки
9,Крит. шанс
10,"Шанс крит.
сопротивления"
11,Прирост крит. урона
12,Шанс крит. удара
13,Крит. сопротивление
14,Прирост крит. шанса
15,"Прирост крит.
сопротивления"
16,Ф. защ.
17,М. защ.
18,Прирост ф. защиты
19,Прирост м. защиты
20,Уклонение
21,Прирост уклонения
22,Шанс уклонения
23,Точность
24,Прирост точности
25,Коэф. точности
26,Повышение урона
27,Повышение ф. урона
28,@IncreaseDamagePhyMul
29,"Повышение урона
по замедленной цели"
30,Урон с игнор. защиты
31,Снижение урона
32,Снижение ф. урона
33,Снижение м. урона
34,Снижение фикс. урона
35,Шанс парирования
36,"Снижение урона
при парировании"
37,Опыт
38,Прирост получ. опыта
39,Прирост агрессии
40,HP
41,Реген. HP
42,Кража HP
43,"Повыш. шанса
выпадания предм."
44,Макс. HP
45,Прирост макс. HP
46,Макс. MP
47,Прирост макс. MP
48,MP
49,Прирост расхода MP
50,Реген. MP
51,Скорость
52,Прирост скорости
53,"Шанс сопротивления
замедлению"
54,"Шанс сопротивления
оглушению"
55,"Шанс сопротивления
отриц. эффектам"
56,"Шанс сопротивления
цели стаскиванию"
126,Шанс сопр. отбрасыв.
58,Адена
59,Прирост получ. аден
60,Бесплатный алмаз
61,Платный алмаз
62,Билет на задание
63,"Билет на автопрох.
завоевания"
64,Фрагмент руны
65,Очко умений
66,Очки дружбы
67,Топаз
68,Очки лояльности
69,Неуязвимость
70,Единое убийство
71,Хитрость
72,Прочность
73,Опыт класса
74,Монета клана
75,Очко достижений
76,Билет Фестиваля Осад
77,Билет на PvP
78,Очки славы PvP
79,Ур.
80,Пробивание
81,Гибкость
82,"Увелич. зоны
действия умения"
83,"Увелич. числа
ударов умения"
84,"Повыш. скорости
добывания"
85,"Повыш. количества
добывания"
86,"Магический щит (от
урона с исп. маны)"
87,Блок. PK
88,"Повыш. шанса выпад.
ядер монстров"
89,@CombatPower
90,"Увеличение
длительности комбо"
