Id,ContentsDesc,Name
1,Есть множество способов улучшить эффективность своего снаряжения.,Кузница
2,"Чтобы ваши атаки стали сильней, вселяйте в свое оружие силу чужих душ.",Заряд души
3,,Подземелья
4,В этих подземельях в каждый день недели вас будут ждать разные монстры и награды.,Ежедн. подземелье
5,"Размер награды растет в зависимости от того, какую часть Адена вы уже обследовали.",Достижения
6,,Друзья
8,Каждый день здесь можно приобрести высококачественное снаряжение ранга A или выше.,Ящик с высококач. снаряжением
10,Испытайте свои силы в боях с другими искателями приключений.,Арена
11,,Рейтинг
12,"Скомбинируйте два предмета снаряжения, чтобы получить одно более высокого ранга.",Объединение
13,Улучшайте эффективность своего снаряжения с помощью свитков модификации.,Усиление
14,,Клан
15,"Здесь можно испытать пределы своих способностей, поднимаясь на бесконечно высокую башню.",Башня Дерзости
16,Нанесение рун позволяет навсегда модифицировать ваши способности.,Нанесение руны
17,"Повышает ранг снаряжения, сохраняя его внешний вид и подхарактеристики.",Улучшение
18,,Еж. акт.
19,,Ежедневные задания
20,,Недельные задания
21,"Самоцвет, в котором заключена душа, придает снаряжению особый атрибут.",Кристалл Души
22,"Испытайте себя в крайне опасном, но полном наград подземелье.",Элитное подземелье
23,,Эльфийск. Руины 1
24,"Собирайте ядра монстров, чтобы получать за них различные награды.",Бестиарий
25,"Дарует могущественные умения, хотя заполучить такое непросто.",Редкое умение
27,,Фактория
28,"Эликсиры, которые вы пьете, позволяют навсегда модифицировать способности.",Эликсир
29,"Здесь можно собирать травы, которые используются в изготовлении эликсиров.",Подземелье добычи
30,"Автоматический поиск находящихся поблизости врагов, с которыми можно сразиться.",Автобитва
40,Это заголовок.,Титул
101,,Ежедн. подземелье (обычный)
102,,Эльфийск. Руины 2
103,,Смена класса
104,,Ежедн. подземелье (сложный)
105,,Муравейник 1
106,,Муравейник 2
107,,Ежедн. подземелье (очень сложный)
108,,Башня Крумы 2
109,,Башня Крумы 3
110,,Б. Слон.Кости 1
111,,Б. Слон.Кости 2
112,Побеждайте орды монстров и получайте огромное количество опыта.,Подземелье опыта
113,"Убейте дракона, стерегущего золотой клад, и получите огромное количество аден.",Подземелье адены
114,Защищайте храм от сил зла и получайте снаряжение в награду.,Страж Храма
115,,Круг призыва
116,,Варкарон - Подземелье клана
117,,Королева Муравьев - Подземелье клана
118,,Осада крепости
119,,Осада замка
120,"Повышайте уровень умений, чтобы они стали эффективнее.",Повышение уровня умения
121,"Уничтожьте врата между измерениями, которые защищают монстры.",Подземелье полиров. камня
122,,Инвентарь
123,,Ядро Крумы
126,,Холл клана
127,,Б. Слон.Кости 3
129,,Езд. жив.
130,,Геройское поле боя
131,,Древнее поле боя
132,,Полог Леса Секретов
133,,Подземная лабор. Б. Слон.Кости
134,,Подлесок Леса Секретов
135,,Место Бойни Леса Секретов
137,,Плащ
138,,Открытая осада
10000,Вы не можете использовать эту функцию.,Персонаж
10003,@10000,Класс
10006,@10000,Мастерская
10007,@10000,Задания
10008,@10000,@18
10011,@10000,@40
10012,@10000,События
10013,@10000,Н. за отдых
10014,@10000,Н. за логин
10015,@10000,Фестиваль Осад
10016,@10000,Веб-событие
10017,@10000,Обычный магазин
10018,@10000,Магазин алмазов
10019,@10000,Магазин коллекций
10021,@10000,Поля боя
10022,@10000,@14
10023,@10000,Подземелье кл.
10029,@10000,Продать предмет
10030,@10000,Использовать предмет
10031,@10000,Переместить предмет
10032,@10000,Забытый Свиток
10034,@10000,Повысить уровень снаряжения ездового животного
10035,@10000,Призыв ездового животного
10036,@10000,Повысить уровень ездового животного
10037,@10000,Подробности подхарактеристики
10038,@10000,Форум сообщества
10039,@10000,Модифицировать ездовое животное
20001,,Алтарь безумия
20002,,Спальня Графини крови
401,@10000,Магазин мастерства
10040,@10000,Учетная запись подхарактеристик
301,,@122
303,,@122
30000,,Свиток задания
30102,Используется для призыва монстров с выбранной территории и получения ядер.,Территория Глудио - камень призыва монстра
30103,Используется для призыва монстров с выбранной территории и получения ядер.,Территория Диона - камень призыва монстра
30104,Используется для призыва монстров с выбранной территории и получения ядер.,Территория Гирана - камень призыва монстра
