Index,Name
1,Стремительный удар
2,@1
3,@1
4,@1
5,@1
6,@1
7,@1
8,@1
9,@1
10,@1
11,Мощный укол
12,@11
13,@11
14,@11
15,@11
16,@11
17,@11
18,@11
19,@11
20,@11
21,@11
22,@11
23,@11
24,@11
25,@11
26,@11
27,@11
28,@11
29,@11
30,@11
31,Бросок стремительных клинков
32,@31
33,@31
34,@31
35,@31
36,@31
37,Шаг назад
38,@37
39,@37
40,@37
41,Цепная гидра
42,Атакующий прыжок
43,@42
44,Ураган
45,@44
46,Темное дыхание
47,@46
48,@44
49,@44
50,Паучья сеть
51,Атака
52,@51
53,@51
54,@51
55,Дикая зачистка
56,Кровавый бросок
57,@56
58,Атака Марши
59,@58
60,Атака Сатиросса
61,@60
62,@37
63,@37
64,@37
65,@37
66,Переместить Рамога в центр
67,@66
68,@66
69,@66
70,@66
71,@66
72,@66
73,@66
74,@66
75,@66
76,@66
77,@66
78,Переместить Закена в центр
