Id,Name,Description
1,Ежедн. подземелье,"Добывайте материалы, необходимые для усиления."
2,Башня Дерзости,Все выше и выше! Бросьте вызов пределу своих сил!
3,Элитное подземелье,Побеждайте могучих монстров и получайте массу опыта!
4,Подземелье добычи,"Собирайте магические травы, чтобы готовить эликсиры!"
5,Страж Храма,Защищайте свящ. артеф. и получайте ценное снаряжение!
6,Подземелье адены,Похищайте адены из логова алчного дракона!
7,Подземелье опыта,"Братья, кто хочет набраться опыта - идите сюда!"
8,Круг призыва,"Снимите печать со священного артефакта и
получите камни призыва!"
9,Подземелье полиров. камня,Уничтожьте тщательно охраняемые врата между измерениями и получите награду.
10,След Варкарона,Острый клинок Варкарона наносит кровоточащие раны.
11,Пещера Королевы Муравьев,Здесь в глубинах темной пещеры затаилась Королева Муравьев.
12,Комната Ядра Крумы,"Хранитель Башни Крумы,
умеющий управлять чужим разумом."
13,Малисс,Малисс Искусительница
14,Алтарь безумия,"Отправляйтесь в деревню
безумных орков!"
15,Спальня Графини крови,"Найдите пропавших солдатов
Гирана и графиню!"
