Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,Говор.остр. - восток,Разведка: {ReplaceString1},Говор.остр. - вост.,Уничтож. {ReplaceString2} монстров,Убейте {TaskCount} монстров на востоке Говорящего острова.
2,Говор.остр. - зап.,@1,Говор.остр. - зап.,@1,Убейте {TaskCount} монстров на западе Говорящего острова.
3,Глудинский тракт,@1,Глудинский тракт,@1,Убейте {TaskCount} монстров на Глудинском тракте.
4,Равнины Глудио,@1,Равнины Глудио,@1,Убейте {TaskCount} монстров на Равнинах Глудио.
5,Особняк Виндавуд,@1,Особняк Виндавуд,@1,Разгромить {TaskCount} монстров в Поместье Виндавуд.
6,Пустошь,@1,Пустошь,@1,Убейте {TaskCount} монстров в Пустоши.
7,Дионские равнины,@1,Дионские равнины,@1,Убейте {TaskCount} монстров на Равнинах Диона.
8,Болото Крумы,@1,Болото Крумы,@1,Убейте {TaskCount} монстров на Болоте Крумы.
9,Пик Диссонанса,@1,Пик Диссонанса,@1,Убейте {TaskCount} монстров на Пике Диссонанса.
10,Земли Плача,@1,Земли Плача,@1,Разгромить {TaskCount} монстров в Землях Плача.
11,Гиранский доминион,@1,Гиранский доминион,@1,Разгромить {TaskCount} монстров в Гиранском доминионе.
12,Берега Смертельного тумана,@1,Берега Смертельного тумана,@1,Убейте {TaskCount} монстров на Берегах Смертельного тумана.
13,Остров Дьявола,@1,Остров Дьявола,@1,Убейте {TaskCount} монстров на Острове Дьявола.
14,@13,@1,@13,@1,@13
15,Некрополь Призраков,@1,Некрополь Призраков,@1,Убейте {TaskCount} монстров в Некрополе Призраков.
16,@15,@1,@15,@1,@15
101,Эльфийск. Руины 1,Автопрохождение: {ReplaceString1},Эльфийск. Руины 1,@1,Убейте {TaskCount} монстров в Эльфийских Руинах 1.
102,Эльфийск. Руины 2,@101,Эльфийск. Руины 2,@1,Убейте {TaskCount} монстров в Эльфийских Руинах 2.
103,Муравейник 1,@101,Муравейник 1,@1,Убейте {TaskCount} монстров в Муравейнике 1.
104,Муравейник 2,@101,Муравейник 2,@1,Убейте {TaskCount} монстров в Муравейнике 2.
105,Башня Крумы 2,@101,Башня Крумы 2,@1,Убейте {TaskCount} монстров в Башне Крумы 2.
106,Башня Крумы 3,@101,Башня Крумы 3,@1,Убейте {TaskCount} монстров в Башне Крумы 3.
