Type,Name
0,Присоединено к оружию
1,Ф. атк.
2,М. Атк.
3,Повыш. ф. атаки
4,Повыш. м. атаки
5,Базовая мощность атаки
6,Повыш. атаки члена группы
7,Повыш. скорости атк.
8,Полож. эфф.
9,Повышение крит. урона
14,Повыш. крит. точности
15,Повыш. шанса крит. сопр.
16,Ф. урон
17,М. урон
18,Игнор. защ.
19,Снижение HP цели
20,Снижение HP цели (%)
21,Ф. защ.
22,М. Защ.
23,Повыш. ф. защиты
24,Повыш. м. защиты
26,Уклонение
27,Повышение уклонения
28,Повыш. шанса уклонения
29,Точность
30,Повышение точности
31,Повышение точности
32,Повышение урона
33,Повышение ф. урона
34,@IncreaseDamagePhyMul
35,"Повышение урона
по замедленной цели"
36,Урон с игнор. защиты
37,Снижение урона
38,Снижение ф. урона
39,Снижение м. урона
40,Снижение фикс. урона
41,Шанс парирования
42,"Снижение урона
при парировании"
43,Постепенный ф. урон
44,Постепенный м. урон
45,Лечение HP на основе атк.
46,Постепенное лечение
47,Эффект от рельефа
48,Повышение агрессии
49,HP
50,Повыш. HP на основе процента от макс. HP
51,Реген. HP
52,Кража HP
53,"Поглощение HP (активное умение, отбирающее HP у противника)"
54,Поглощение HP (передача отобранных HP вам и членам вашей группы)
55,Неуязвимость
56,Невидимость
57,"Повыш. шанса
выпадания предм."
58,Макс. HP
59,Повышение макс. HP
60,Макс. MP
61,Повыш. макс. MP
62,Повыш. скорости
63,MP
64,Повыш. MP на основе процента от макс. MP
65,Снижение расхода MP
66,Снижение расхода MP
67,Реген. MP
68,Мгновенное убийство (цель немедленно погибает)
69,Метательное
70,Ускорение перезарядки умения
71,Умник (стоим. всех умений в MP - 1)
72,Бонус заряда души к атаке
73,Прочность (получ. урон - 1)
74,Оглушение
75,Насмешка (повышает агрессию до максимума)
76,Захват цели
77,Перемещ. цели
78,Стаскивание цели
79,Шанс сопр. стаскиванию
81,Шанс сопр. отбрасыв.
83,Эликсир
84,Нет эффекта
85,Идентификатор информации таблицы умений
179,Положит. эфф. по площади (Тотем ауры)
86,Опыт
87,Прирост получения опыта
88,Адена
89,Прирост получения аден
90,Бесплатный алмаз
91,Платный алмаз
92,Монета клана
93,Фрагмент Руны
94,SP
95,Автопрохожд.
96,Выпадение предметов
97,Шанс сопр. замедлению
98,Шанс на сопротивление оглушению и опрокидыванию
99,Сопротивл. отриц. эфф.
103,Увелич. дальности действия умения
104,"Увелич. числа
ударов умения"
100,Продление комбо
101,Пробивание
102,Гибкость
105,Повыш. скорости добычи
106,"Повыш. количества
добывания"
10,Крит. шанс
11,Крит. сопротивление
12,Повышение крит. шанса
13,Повышение крит. сопротивления
125,Управление разумом
133,Повыш. урона умения обычной атаки
140,Ускор. перезарядку умений на %.
146,Уменьшает MP цели
147,Уменьшает MP цели на %.
148,Восст. MP в зависимости от Атк.
179,Повышение защ. пропорционально размеру группы
151,Снимает отриц. эффект
152,Снимает дебаф
153,Неуязвимость к урону при падении HP ниже опр. уровня
136,Повышение Реген. HP
163,Окончательное сниж. Реген. HP
164,Степень сниж. финального урона + доп. урона
165,@NormalSkillDamageMul
174,Повыш. исцеления от обычного навыка исцеления
171,Повышение шанса на сопротивление оглушению и опрокидыванию
170,Повышение шанса на сопротивление замедлению
169,1% к шансу на на сопротивление критическому удару
131,Повыш. урона по монстрам
132,"Сниж. Урн., получ. от монстров"
176,Повышается урон по монстрам от обычных навыков
177,@NormalSkillMonsterDamageMul
160,Повышение урона в зависимости от ранга и расы NPC.
