MissionInfoId,TaskName,TaskDescription
3101,Вступите в клан или создайте новый,Вступите в клан или создайте новый {0} раз. ({1} / {2})
3102,Отметки в клане,Посетите свой клан {0} раз(-а). ({1} / {2})
3103,Магазин,Совершите {0} покупок в Магазине клана. ({1} / {2})
3104,Взнос в клан,Пожертвуйте клану {0} аден. ({1} / {2})
3105,Приветствие клана,Поприветствуйте члена клана {0} раз(-а). ({1} / {2})
3201,Достижение клана,Соберите награды за достижения клана {0} раз(-а). ({1} / {2})
3202,@3102,@3102
3203,@3103,@3103
3204,@3104,Пожертвуйте клану {0} Зн. Крови. ({1} / {2})
3205,@3105,@3105
3301,@3201,@3201
3302,@3102,@3102
3303,@3103,@3103
3304,@3104,Пожертвуйте клану красных звездных камней: {0}. ({1} / {2})
3305,@3105,@3105
3401,@3201,@3201
3402,@3102,@3102
3403,@3103,@3103
3404,@3104,@3104
3405,@3105,@3105
3501,@3201,@3201
3502,@3102,@3102
3503,@3103,@3103
3504,@3104,@3204
3505,@3105,@3105
3601,@3201,@3201
3602,@3102,@3102
3603,@3103,@3103
3604,@3104,@3304
3605,@3105,@3105
2101,Повышение уровня снаряжения,Попытайтесь повысить уровня снаряжения {0} раз(-а). ({1}/{2})
2102,Попытка модифицировать,Попытайтесь модифицировать снаряжение {0} раз(а). ({1}/{2})
2103,Улучшение Кристаллов души,Улучшите Кристаллы души {0} раз(-а). ({1}/{2})
2104,Прохождение Стража Храма,Пройдите Стража Храма {0} раз(-а). ({1}/{2})
2105,Получение снаряжения,Попытайтесь получить снаряжение {0} раз(-а). ({1}/{2})
2201,@2101,@2101
2202,@2102,@2102
2203,@2103,@2103
2204,@2104,@2104
2205,@2105,@2105
2301,@2101,@2101
2302,@2102,@2102
2303,@2103,@2103
2304,@2104,@2104
2305,@2105,@2105
2401,@2101,@2101
2402,@2102,@2102
2403,Комбинирование снаряжения,Попытайтесь скомбинировать снаряжение {0} раз(-а). ({1}/{2})
2404,@2104,@2104
2405,Попытайтесь изменить подхарактеристики,Измените подхарактеристики снаряжения {0} раз(-а). ({1}/{2})
2501,@2101,@2101
2502,@2102,@2102
2503,@2403,@2403
2504,@2104,@2104
2505,@2405,@2405
2601,@2101,@2101
2602,@2102,@2102
2603,@2403,@2403
2604,@2104,@2104
2605,@2405,@2405
