ID,SkillName,SkillDesc
1,Цель определена,"Выбирает <YellowBold>цель</> из ближайших игроков.
Этот навык очень быстрый, поэтому от
него нельзя уклониться, если цель
находится в пределах досягаемости.

Цель будет <YellowBold>оглушена</> и не сможет
передвигаться."
2,Бросок топора,"Бросает в цель топор, нанося
<YellowBold>фиксированный урон</>.
<YellowBold>Нанесенный урон будет распределен</>
<YellowBold>между</> целями, в которые попал топор.
Цели, которые задел топор, попадут
под действие <YellowBold>золы</>.

<YellowBold>Зола</> взорвется через определенное время;
Цели, на которые она воздействует,
будут <YellowBold>опрокинуты</>.
Под такими целями возникнут <YellowBold>языки</>,
<YellowBold>пламени</> нанося дополнительный урон."
3,Перелом,"Наносит урон всем целям в <YellowBold>зоне</>
<YellowBold>досягаемости спереди</>."
4,Клинок безумца,"Наносит урон в форме веера по всем целям
спереди. Атакованные цели подвергнутся
действую <YellowBold>возгорания</>.

Цели, на которые действует <YellowBold>возгорание</>,
получат <YellowBold>дополнительный урон</>
<YellowBold>на 1 эффект возгорания</> после <YellowBold>взрыва</>
<RedBold>золы Паагрио</>.
Эффект возгорания суммируется до 5 раз."
5,Разорение,"<RedBold>Рамог</> перемещается в центр, а затем
наносит урон по площади на
<YellowBold>270 градусов вокруг себя</>.
После применения эта способность
<YellowBold>последовательно активируется 4 раза</>.
При каждой активации меняется
направление. Цели, которых
задело разорение, попадают
под действие <YellowBold>возгорания</>.

Цели, на которые действует эффект
<YellowBold>возгорания</>, получат <YellowBold>дополнительный</>
<YellowBold>урон на 1 возгорание</> после
<YellowBold>взрыва</> <RedBold>золы Паагрио</>.
Эффект возгорания суммируется до 5 раз."
6,Подготовленный взрыв,"<RedBold>Рамог</> перемещается в центр, затем
призывает <RedBold>золу Паагрио</>.

Призванная <RedBold>зола Паагрио</> движется по
направлению к <RedBold>Рамогу</>. Сразу после
контакта золы с <RedBold>Рамогом</> происходит
мощный взрыв, наносящий огромный урон всему,
что находится в пределах видимости.

Цели, на которые воздействует
<YellowBold>возгорание</>, получат <YellowBold>урон,</>
<YellowBold>пропорциональный количеству эффектов возгорания</>."
7,@1,@1
8,@2,@2
9,@3,@3
10,@4,@4
11,@5,@5
12,@6,@6
13,@1,@1
14,@2,"Бросает в цель топор, нанося
<YellowBold>фиксированный урон</>.
<YellowBold>Нанесенный урон будет распределен</>
<YellowBold>между</> целями, в которые попал топор.
Цели, которые задел топор, попадут
под действие <YellowBold>золы</>.

<YellowBold>Зола</> взорвется через определенное время;
Цели, на которые она воздействует,
будут <YellowBold>опрокинуты</>.
Под такими целями возникнут <YellowBold>языки</>,
<YellowBold>пламени</> нанося дополнительный урон."
15,@3,@3
16,@4,@4
