AchievementLevel,Name
0,Будущий путешественник
1,Начин. путешественник
2,Обычный путешественник
3,Упорный путешественник
4,Волевой путешественник
5,Могучий путешественник
6,Обычный наемник
7,Опытный наемник
8,Отважный наемник
9,Стойкий наемник
10,Дерзкий наемник
11,Гордый солдат
12,Отважный солдат
13,Крепкий солдат
14,Решительный боец
15,Умелый воин
16,Бдительный боец
17,Яростный боец
18,Надежный боец
19,Спокойный рыцарь
20,Решительный рыцарь
21,Достославный рыцарь
22,Мудрый барон
23,Разумный барон
24,Заносчивый барон
25,Храбрый барон
26,Упрямый барон
27,Безрассудный барон
28,Молчаливый маркиз
29,Могучий маркиз
30,Благородный маркиз
31,Беспокойный Гонитель
32,Остроглазый наблюдатель
33,Благородный дуэлянт
34,Блистательный победитель
35,Повелитель бурь
36,Испытанный владыка
37,Спаситель Адена
38,Неудержимый разрушитель
39,Смертоносный мясник
40,Верный страж
41,Могучий губитель
42,Славный завоеватель
43,Неутомимый спаситель
44,Праведный судия
45,Карающий разрушитель
46,Владыка континента
47,Непревзойденный знаток
48,Жестокий бессмертный
49,Беспредельная легенда
50,Божество поля боя
