Id,Name,Description
1001,Повышение времени наложения знака на священный артефакт,"Увеличение времени, необходимого для нанесения знака священный артефакт, на 1 секунду."
1002,@1001,"Увеличение времени, необходимого для нанесения знака священный артефакт, на 2 секунды."
1003,@1001,"Увеличение времени, необходимого для нанесения знака священный артефакт, на 3 секунды."
1004,@1001,"Увеличение времени, необходимого для нанесения знака священный артефакт, на 4 секунды."
1005,@1001,"Увеличение времени, необходимого для нанесения знака священный артефакт, на 5 секунд."
2001,Повыш. HP защитной башни,Повыш. HP защитной башни на 500.
2002,@2001,Повыш. HP защитной башни на 1000.
2003,@2001,Повыш. HP защитной башни на 1500.
2004,@2001,Повыш. HP защитной башни на 2000.
2005,@2001,Повыш. HP защитной башни на 2500.
3001,Повыш. атк. ловушки,"Увеличение атаки ловушки на 1%.
Ловушки наносят процентный урон максимуму HP врага."
3002,@3001,"Увеличение атаки ловушки на 2%.
Ловушки наносят процентный урон максимуму HP врага."
3003,@3001,"Увеличение атаки ловушки на 3%.
Ловушки наносят процентный урон максимуму HP врага."
3004,@3001,"Увеличение атаки ловушки на 4%.
Ловушки наносят процентный урон максимуму HP врага."
3005,@3001,"Увеличение атаки ловушки на 5%.
Ловушки наносят процентный урон максимуму HP врага."
