Id,Text
1,Охота
2,Задание
3,Изготовл. эликсира
4,Изготовл. Забытого Свитка
5,Достижение
6,Н. за отдых
7,Выполнить сразу
8,Магазин очков дружбы
9,Маг-н приз.
10,Магазин пред.
11,Магазин аден
12,Магазин Топазов
13,Магазин наборов
14,Магазин Очков лояльности
15,Пополнить алмазы
16,Алмазы за день
17,Набор за логин
18,Наб. усил.
19,Элитное подземелье
20,Ежедн. подземелье
21,Башня Дерзости
22,Подземелье добычи
23,Арена
24,Друг
25,Магазин
26,Магазин подарков клана
27,Достижение клана
28,Магазин Син. алмазов
29,Взнос в клан
30,Привет членам клана
31,Еж. акт.
32,Почетное поле боя
33,Геройское поле боя
34,Древнее поле боя
35,Задание Холла клана
36,"Обычный, именной"
37,Мировой босс
38,Полевой босс
39,@20
40,Объединить
41,Разбить
42,Страж Храма
43,Подземелье аден
44,Круг призыва
45,Реликвия Холла клана
46,Сундук с сокровищ.
47,Завоевания
48,Фестиваль Осад
49,Магазин свитков
50,События
51,В пути
52,Веб-событие
53,Н.за логин
54,Дружеская помощь
55,Осада замка
56,Осада крепости
57,Разбить ядро
58,Кристалл Души
59,Обмен
60,Открытая осада
61,Временной разлом
62,정복자의 전당
63,Подземелье клана
