Name,AlarmDesc
Уже скоро,
Событие,Открыт магазин ограниченных предложений.
Уже скоро,
Усиление I,"Посмотрите, что есть в продаже."
Уже скоро,
Для езд.животн.,Открыт магазин ограниченных предложений.
Уже скоро,
Усиление II,"Посмотрите, что есть в продаже."
Рекомендуемые,
Коробки призыва,
Предметы,
Свиток,
Алмазы,
Адена,
Очки дружбы,
Топаз,
Очки лояльности,
Алмаз усиления I,
Алмаз усиления II,
Алмаз усиления III,
Сюжет I,
Сюжет II,
Алмазы I,
Алмаз за логин,
Адены I,
Адены II,
Празднование обновления,
"Искатель
приключений",
Cнаряжение,
Персонаж,
Клан,
"Ездовое
животное",
Сувенир,
