Id,Description
1,Добавляет [Param] бонусного урона к конечному урону при атаке на обычных монстров
2,Добавляет [Param] бонусного урона к конечному урону при атаке на элитных монстров
3,Добавляет [Param] бонусного урона к конечному урону при атаке на боссов
4,Добавляет [Param] бонусного урона к конечному урону при атаке на игроков
5,Снижает конечный урон от обычных монстров на [Param]
6,Снижает конечный урон от элитных монстров на [Param]
7,Снижает конечный урон от боссов на [Param]
8,Снижает конечный урон от игроков на [Param]
9,Усиливает повышение шанса на сопротивление оглушению и опрокидыванию на [Param]
10,М. защ. +[Param]
11,Усиливает повышение шанса на сопротивление замедлению на [Param]
12,Усиливает повышение шанса на сопротивление крит. удару на [Param]
13,Скорость +[Param]
14,Повышает длительность комбо на [Param] с
15,Добавляет [Param] бонусного урона при использовании навыков обычной атаки
16,Добавляет [Param] бонусного урона к конечному урону при атаке на магических монстров
17,Снижает конечный урон от магических монстров на [Param]
19,Добавляет [Param] бонусного урона по монстрам при использовании навыков обычной атаки
20,Добавляет [Param] бонусного восстановления при использовании навыков обычного восстановления
101,Бонусн. урон обычн. монстрам: [Param]
102,@101
103,@101
104,Бонусн. урон боссам: [Param]
105,@104
106,@104
107,Урон от других игроков -[Param]
108,@107
109,Бонусн. урон другим игрокам: [Param]
110,@109
111,Урон от обычных монстров -[Param]
112,@111
113,Бонусн. урон элитн. монстрам: [Param]
114,@113
115,Урон от элитных монстров -[Param]
116,@115
117,Урон от боссов -[Param]
118,@117
201,@104
202,@117
203,[Param] бонусного урона по замковым постройкам при осаде
204,@113
205,@104
206,Добавляет [Param] бонусного урона при атаке на магических монстров
301,Повыш. скорости атаки на [Param] на поле боя
