Id,SpotName,SpotTitle,Desc
1,Крепость на Глудинском тракте,,
2,Крепость на равнинах Глудио,,
3,Крепость Поместья Виндавуд,,
4,Крепость в Пустоши,,
5,Крепость на Равнинах Диона,,
6,Крепость на Болоте Крумы,,
7,Крепость на пике Диссонанса,,
8,Крепость Земель Плача,,
9,Крепость в Гиранском доминионе,,
10,Крепость на Берегах Смертельного тумана,,
11,Крепость на Острове Дьявола,,
12,Крепость в Некрополе призраков,,
13,Крепость в Долине Драконов,,
14,Крепость на плато Северного ветра,,
15,Крепость на Вечных землях,,
16,Захваченная крепость Башни Слоновой Кости,,
17,Крепость в руинах дольмена,,
18,Крепость в Расколотых землях,,
19,Крепость Обелиска Победы,,
20,Крепость Укрепленного лагеря,,
21,Крепость в Лесу Ветров,,
22,Крепость Леса Духов,,
23,Крепость Западного пограничного поста,,
24,Крепость в Эльфийских руинах,,
101,Гавань Говорящего острова,Гавань Говорящего острова,
102,Расколотые земли,Расколотые земли,
197,Город Говорящего острова,Город Говорящего острова,
201,Зап.погран. Пост,Зап.погран. Пост,
202,Лес духов,Лес духов,
301,Равнины Ветряных Мельниц,Равнины Ветряных Мельниц,
302,Безмолвное кладбище,Безмолвное кладбище,
303,Лагерь налетчиков,Лагерь налетчиков,
397,Город Глудин,Город Глудин,
398,@1,Крепость на Глудинском тракте,
401,Разрушенные угодья,Разрушенные угодья,
402,Ком. пост истребления монстров,Ком. пост истребления монстров,
403,Жилища Ящеров Мэль,Жилища Ящеров Мэль,
404,Лагерь Орков Турек,Лагерь Орков Турек,
497,Город замка Глудио,Город замка Глудио,
498,@2,Крепость на равнинах Глудио,
499,Замок Глудио,Замок Глудио,
501,Руины Виндавуда,Руины Виндавуда,
502,Поле боя,Поле боя,
503,Святилище Падшего эльфа,Святилище Падшего эльфа,
504,Пункт орков Турек,Пункт орков Турек,
598,@3,Крепость Поместья Виндавуд,
601,Область пыльных бурь,Область пыльных бурь,
602,Пустоши,Пустоши,
603,Горная цепь из красного камня,Кряж из красного камня,
697,Лагерь Стариса,Лагерь Стариса,
698,@4,Крепость в Пустоши,
701,Область заготовки леса,Область заготовки леса,
702,Сельские угодья,Сельские угодья,
703,Окрестности замка Дион,Окрестности замка Дион,
704,Равнины,Равнины,
797,Город Диона,Город Диона,
798,@5,Крепость на Равнинах Диона,
799,Замок Дион,Замок Дион,
801,Мрачная местность,Мрачная местность,
802,Вход в Болотные земли Крумы,Вход в Болотные земли Крумы,
803,Болотные земли Крумы,Болотные земли Крумы,
897,Лагерь археологов,Лагерь археологов,
898,@6,Крепость на Болоте Крумы,
901,Умиротворенные леса,Умиротворенные леса,
902,Вход в лагерь Танор,Вход в лагерь Танор,
903,Внутренняя часть лагеря Танор,Внутренняя часть лагеря Танор,
904,Убежище гноллов,Убежище гноллов,
998,@7,Крепость на пике Диссонанса,
1001,Ферма мандрагор,Ферма мандрагор,
1002,Земли Казни,Земли Казни,
1003,Вход в крепости Агонии,Вход в крепости Агонии,
1004,Внутренняя часть крепости Агонии,Внутренняя часть крепости Агонии,
1098,@8,Крепость Земель Плача,
1101,Вход в Гиранский доминион,Вход в Гиранский доминион,
1102,Сад Горгон,Сад Горгон,
1103,Поющий лес,Поющий лес,
1104,Лагерь Ящеров Лангк,Лагерь Ящеров Лангк,
1197,Город Гиран,Город Гиран,
1198,@9,Крепость в Гиранском доминионе,
1199,Замок Гиран,Замок Гиран,
1201,Торговый путь,Торговый путь,
1202,Туманный лес,Туманный лес,
1203,Гиранская гавань,Гиранская гавань,
1297,@897,@897,
1298,@10,Крепость на Берегах Смертельного тумана,
1301,Временная гавань Острова Дьявола,Временная гавань Острова Дьявола,
1302,Проклятая золотая пещера,Проклятая золотая пещера,
1303,Гавань Призрака Закена,Гавань Призрака Закена,
1398,@11,Крепость на Острове Дьявола,
1401,Крепость Брека,Крепость Брека,
1403,Веха Бездны забвения,Веха Бездны забвения,
1404,Драконья могила,Драконья могила,
1405,Проход мертвеца,Проход мертвеца,
1402,Вход в Бездну забвения,Вход в Бездну забвения,
1406,Грань смерти,Грань смерти,
1498,@12,Крепость в Некрополе призраков,
1501,Долина охотников,Долина охотников,
1503,Аванпост Тимак,Аванпост Тимак,
1502,Лагерь охотника,Лагерь охотника,
1597,Город Орена,Город Орена,
1598,@14,Крепость на плато Северного ветра,
1599,Замок Орен,Замок Орен,
1601,Сломанная печать,Сломанная печать,
1602,Море спор,Море спор,
1603,Ведьминский лес,Ведьминский лес,
1697,"Область, ограниченная устройством","Область, ограниченная устройством",
1698,@15,Крепость на Вечных землях,
1701,Лес беззаконников,Лес беззаконников,
1702,Лес зла,Лес зла,
1703,Кратер Башни Слоновой Кости,Кратер Башни Слоновой Кости,
1798,@16,Захваченная крепость Башни Слоновой Кости,
1801,Вход в Долину Драконов,Вход в Долину Драконов,
1802,Земля драконов,Земля драконов,
1803,Демонический разрыв,Демонический разрыв,
1898,@13,Крепость в Долине Драконов,
10000,Лаборатория младшего гиганта,Лаборатория младшего гиганта,
10001,@10000,@10000,
10002,@10000,@10000,
10003,Покои Эйнхасад,Дар бога,
10004,Покои Великого Каина,@10003,
20001,Эльфийск. Руины 1,Эльфийск. Руины 1,
20101,Эльфийск. Руины 2,Эльфийск. Руины 2,
20201,Муравейник 1,Муравейник 1,
20301,Муравейник 2,Муравейник 2,
20401,Башня Крумы 2,Башня Крумы 2,
20501,Башня Крумы 3,Башня Крумы 3,
20601,Б. Слон.Кости 1,Б. Слон.Кости 1,
20701,Б. Слон.Кости 2,Б. Слон.Кости 2,
20801,Б. Слон.Кости 3,Б. Слон.Кости 3,
30000,,Западная веха Говорящего острова,Говорящий остров - восток -> Говорящий остров - запад
30001,,Глудийская верфь,Говорящий остров - восток -> Глудинский тракт
30002,,Восточная веха Говорящего острова,Говорящий остров - запад -> Говорящий остров - восток
30007,,Глудийская верфь,Глудинский тракт -> Говорящий остров - восток
30008,,Веха равнин Глудио,Глудинский тракт -> Равнины Глудио
30009,,Глудинский тракт,Равнины Глудио -> Глудинский тракт
30010,,Веха поместья Виндавуд,Равнины Глудио -> Поместье Виндавуд
30011,,Веха равнин Глудио,Поместье Виндавуд -> Равнины Глудио
30012,,Веха Пустоши,Поместье Виндавуд -> Пустошь
30013,,@30010,Пустошь -> Поместье Виндавуд
30014,,Веха Равнин Диона,Пустошь -> Равнины Диона
30021,,@30012,Равнины Диона -> Пустошь
30022,,Веха Болота Крумы,Равнины Диона -> Болото Крумы
30023,,@30014,Болото Крумы -> Равнины Диона
30024,,Веха пика Диссонанса,Болото Крумы -> Пик Диссонанса
30029,,@30022,Пик Диссонанса -> Болото Крумы
30030,,Веха Земель Плача,Пик Диссонанса -> Земли Плача
30031,,@30024,Земли Плача -> Пик Диссонанса
30032,,Веха Гиранского доминиона,Земли Плача -> Гиранский доминион
30033,,@30030,Гиранский доминион -> Земли Плача
30034,,Веха Берегов Смертельного тумана,Гиранский доминион -> Берега Смертельного тумана
30035,,Веха Некрополя призраков,Гиранский доминион -> Некрополь призраков
30036,,@30032,Берега Смертельного тумана -> Гиранский доминион
30037,,Верфь Острова Дьявола,Берега Смертельного тумана -> Остров Дьявола
30038,,Гиранская верфь,Остров Дьявола -> Берега Смертельного тумана
30039,,@30032,Некрополь призраков -> Гиранский доминион
30054,,Веха пиратского корабля Закена,Остров Дьявола -> Пиратский корабль Закена
30055,,Веха Острова Дьявола,Пиратский корабль Закена -> Остров Дьявола
330001,,Вход в деревню шаманов,Вход в деревню шаманов
330011,,@330001,@330001
330101,,Вход в Скопление ненависти,Вход в Скопление ненависти
330111,,@330101,@330101
60001,,Использование официального обучения (временное),
70001,,Окрестности замка Адена,
100200,,Завоевать Эльфийские руины 1 - Мир заданий,
100204,@20401,Башня Крумы 2 - Мир заданий,
100003,Глудинский тракт - точка 1,Глудинская гавань - Мир заданий,
100018,,Внутренняя часть камня призыва зла - Мир заданий,Внутренняя часть камня призыва зла
200001,,Внешний мир Теодора,Внешний мир Теодора
200002,,Подвал,Подвал
200003,Вход в осажденный лагерь,Вход в осажденный лагерь,
200004,Окрестности замка Орена,Окрестности замка Орена,
200005,Подземная тюрьма замка Орен,Подземная тюрьма замка Орен,
200200,,Территория Кровавого короля,Территория Кровавого короля
211000,,Первая печать Говорящего острова - Мир заданий,Первая печать Говорящего острова
211001,,Вторая печать Говорящего острова - Мир заданий,
211002,,Третья печать Говорящего острова - Мир заданий,
211003,,Четвертая печать Говорящего острова - Мир заданий,
200206,,Вход в ловушку Закена,Б. Слон.Кости 1
213000,,Лаборатория Братства Тьмы,Лаборатория Братства Тьмы
211010,,Лаборатория гиганта,Лаборатория гиганта
200010,,@200206,Вход в ловушку Закена
200011,,Центр ловушки Закена,Центр ловушки Закена
210206,@20601,Вход в Б. Слон.Кости 1,
210207,@20701,Вход в Б. Слон.Кости 2,
210208,Остров Дьявола,Остров Дьявола: иллюзия,
21099,,«Смертоносный Гильотин» - местоположение,
21697,,Местоположение «Ричард»,
21698,,Местоположение «Ребекка»,
20298,,Местоположение «Пастырь Духов»,
20398,,Местоположение «Зодиак»,
20498,,Местоположение «Серебряная Борода»,
20598,,Местоположение «Вапар»,
20698,,Местоположение «Казир»,
20798,,Местоположение «Флагон»,
20898,,Местоположение «Сина»,
20998,,Местоположение «Амадей»,
