Id,Value
1,[Param1] вступает в клан.
2,[Param1] выходит из клана.
3,[Param1] получает ранг [Param2]{[Param2]|}.
4,[Param1] становится новым лидером клана.
5,Клан достиг уровня [Param1]{[Param1]}.
6,Заключен союз с кланом [Param1].
7,Расторгнут союз с кланом [Param1].
8,[Param1] награждает игрока по имени [Param2].
9,[Param1] награждает всех членов клана.
10,[Param1]: завоевание прошло успешно.
11,[Param1]: обновите цену ставки!
12,[Param1]: цена ставки увеличена.
13,Штаб осады клана [Param1] атакован.
14,Штаб осады клана [Param1] уничтожен.
15,Билеты на фестиваль обнулятся при Осаде Замка. Поспешите получить ваучер.
16,[Time] [Param1] вошел в игру.
17,Клан долго без лидера. Новый лидер: [Param1].
18,След. полож. эффект появится через [Param1] с.
19,"[Param1] побеждает, [Param2] терпит поражение."
20,Принадлежит синей команде: [Param1]{[Param1]}.
21,Принадлежит красной команде: [Param1]{[Param1]}.
22,[Param1] убивает [Param2] противников подряд!
23,[Param2] клана [Param1] убивает [Param3] врагов подряд!
24,Почетное поле боя открылось. В бой!
25,Матч начнется через [Param1] мин. Готовьтесь!
26,Геройское поле боя открылось. В бой!
27,Матч начнется через [Param1] мин. Готовьтесь!
28,"[Param1] поощрил [Param3] игрок(ов), в том числе [Param2]."
