Id,TitleName
1001,Правитель Глудио
1002,Правитель Диона
1003,Правитель Гирана
1004,Правитель Орена
2001,Хозяин Глудинского тракта
2002,Хозяин равнин Глудио
2003,Хозяин поместья Виндавуд
2004,Хозяин Пустоши
2005,Хозяин Равнин Диона
2006,Хозяин Болотных земель Крумы
2007,Хозяин пика Диссонанса
2008,Хозяин Земель Плача
2009,Хозяин Гиранского доминиона
2010,Хозяин Берегов Смертельного тумана
2011,Владыка Острова Дьявола
2012,Хозяин Некрополя призраков
2013,Хозяин Долины Драконов
2014,Хозяин плато Северного ветра
2015,Хозяин Вечных земель
2016,Хозяин Башни Слоновой Кости
2017,Хозяин Руин дольмена
2018,Хозяин Расколотых земель
2019,Хозяин Обелиска победы
2020,Хозяин Укрепленного лагеря
2021,Хозяин Леса Ветров
2022,Хозяин Леса духов
2023,Хозяин Западного пограничного поста
2024,Хозяин Эльфийских руин
