id,Name,HumanDialog,ElfDialog,DarkElfDialog,DwarfDialog
1,Атака,Внимание! В атааааку!,В атаку!,В атаку!,Атакуем!
2,Победа,Мне известная только победа!,За победу!,Мне известная только победа!,За победу!
3,Жест приветствия,Как поживаете?,Привет.,Здорово тебя встретить!,Привет!
4,Смех,Ха-ха-ха-ха-ха!,Ха-ха-ха!,Аха-ха-ха-ха-ха!,Аха-ха-ха-ха-ха!
5,Грусть,*Всхлипывает*...,*Сопит*!,*Сопит*...,Ааааа!
6,Дать пять,Дать пять!,Дать пять!,Дать пять!,Дать пять!
7,Хлопок,Невероятно!,Потрясающе!,Весьма впечатляет.,Ух ты! Отлично!
8,Испуганный,Не могу поверить...,Как это возможно?..,Что вообще...,О боги...
9,Гнев,Мне надоело!,Пф-ф! Это мой,А-а-ай!,Ррррр! Я зол!
1001,Призвать зло,,,,
1002,Отправиться в деревню,,,,
10001,Победа человека на Арене,,,,
10002,Поражение человека на Арене,,,,
10003,Победа эльфа на Арене,,,,
10004,Поражение эльфа на Арене,,,,
10005,Победа темного эльфа на Арене,,,,
10006,Поражение темного эльфа на Арене,,,,
10007,Победа гнома на Арене,,,,
10008,Поражение гнома на Арене,,,,
100001,Действие при касании №1,,,,
100002,Действие при касании №2,,,,
100003,Действие при касании №3,,,,
100004,Действие при касании №4,,,,
