Id,Adventure,Difficulty
1,Все,Все
2,Элитное подземелье,Эльфийск. Руины 1
3,@2,Эльфийск. Руины 2
4,@2,Муравейник 1
5,@2,Муравейник 2
6,@2,Башня Крумы 2
7,@2,Башня Крумы 3
8,@2,Б. Слон.Кости 1
9,@2,Б. Слон.Кости 2
10,Подземелье добычи,Подземелье добычи
11,Страж Храма,Легкий
12,@11,Обычный
13,@11,Сложный
14,@11,Оч. слож.
15,Круг призыва,@11
16,@15,@12
17,@15,@13
101,Босс Рейда,Пастырь Духов
102,@101,Зодиак
103,@101,Кириос
104,@101,Серебряная Борода
105,@101,Вапар
106,@101,Казир
107,@101,Флагон
108,@101,Сина
109,@101,Амадей
111,@101,Стеноа
112,@101,Марша
118,@2,Б. Слон.Кости 3
124,Временной разлом,Алтарь безумия — Легкий
125,@124,Алтарь безумия — Обычный
129,@124,Спальня Графини крови — Легкий
130,@124,Спальня Графини крови — Обычный
140,Подземелье редкого монстра,Говорящий остров
141,@140,Глудио
142,@140,Дион
143,@140,Гиран
144,@140,Орен
145,Подземелье Камня призыва босса,@141
146,@145,@142
147,@145,@143
148,@145,@144
