Name,TaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
Конец тирании,В ожидании Люсьена,,,,
Конец тирании,Следуйте за Люсьеном,,,,
Конец тирании,Победите солдат-лоялистов,,,,
Конец тирании,Уничтожьте сторожку,,,,
Конец тирании,Войдите на площадь,,,,
Конец тирании,Победите подкрепления лоялистов,,,,
Конец тирании,Приблизьтесь к сторожевой башне,,,,
Конец тирании,Убейте старейшину Марло,,,,
Конец тирании,Убейте старейшину Марло,,,,
Конец тирании,Сторожевая башня разрушена,,,,
Конец тирании,Перейдите к сторожке,,,,
Начало путешествия,Найдите капитана наемников,Портовый мастер Психея,"Это хорошее место для искателя приключений, чтобы набраться опыта.
<p>Вы должны взять на себя какую-то работу, чтобы освоиться в этой области.
<p>Дуглас, капитан наемников, ищет помощника. Ступайте к нему.",,
Свидетельство мастерства,Охота на черных волков,Капитан наемников Дуглас,"Я вижу, вы из опытных искателей приключений. Это хорошо!
<p>Значит, вы ищете работу, а? Что ж, если не боитесь запачкать руки, то вы наняты.
<p>Неподалеку рыщут волки, которые создают неприятности. Избавьтесь от них для меня.",,
Хорошая работа,Охота на рыжих медведей,Капитан наемников Дуглас,"Вы довольно быстро справились с этими волками! Может, от вас и будет польза.
<p>Давайте посмотрим, как вы справитесь с настоящей работой. Вы видели рыжих медведей неподалеку от волков? Похоже, эти медведи совсем потеряли страх к людям.
<p>Мне нужен кто-то, кто сократил бы число рыжих медведей до того, как они начнут нападать на людей. Думаете, что справитесь?",Капитан наемников Дуглас,У нас проблемы! На порт напала шайка орков!
Хорошая работа,Найдите капитана наемников,,,,
Хорошая работа,Засада орков,,,,
Хорошая работа,Засада орков,,,,
Тревога!,Найдите начальника стражи,Капитан наемников Дуглас,"Я и мои люди будем защищать горожан. Вам нужно попасть в порт!
<p>Там вы сможете найти начальника стражи, скажите, что вас послал я! Сделайте это и я буду перед вами в долгу!",,
Засада орков,Победите Воинов орков,Начальник стражи Гарольд,"Орки скопились около парома! Они появляются буквально из ниоткуда! Как мы их упустили?
<p>Мы должны защитить паром любой ценой! Сражайтесь с нами!",,
Засада орков,Победите охранника орков,,,,
Засада орков,Найдите Главаря банды орков,,,,
Засада орков,Найдите Главаря банды орков,Начальник стражи Гарольд,"Проклятье! Главарь бандитов пропал!
<P>Должно быть, он отправился к портовым воротам! Давайте поспешим!",,
Засада орков,Отправляйтесь в портовые ворота,,,,
Засада орков,"Победите орков, убегающих из порта",,,,
Засада орков,Остановите Главаря бандитов и его охрану,,,,
Подготовка к битве,Научитесь авто. использованию,Начальник стражи Гарольд,"Спасибо вам. Мы перед вами в долгу. И не подумать было, что с такими доспехами вы окажетесь таким хорошим бойцом.
<P>Я могу вам с этим помочь. Давайте я научу вас способу быстрого использования снаряжения, он называется <YellowBold>автоматич. использование</>.",,
Пропавшие археологи,Поговорите с Корделией,Начальник стражи Гарольд,"Простите, что продолжаю просить о помощи, но... Мне понадобится ваша помощь с небольшим заданием.
<p>Похоже, что здесь исчезло несколько археологов.
<p>Я бы разобрался с этим самостоятельно, но мне нужно оставаться здесь на случай, если орки снова нападут на порт...
<p>Поможете мне разобраться с этим?",Корделия,"Кто? А! Это вас прислал начальник стражи.
<p>Спасибо, что пришли."
Поиск ключей,Поищите снаряжение для раскопок,Корделия,"Полагаю, вас уже проинструктировали, но многие мои коллеги пропали.
<p>Я попыталась вести поиски самостоятельно, но я не могу найти их следов около Дольмена. Они должны быть где-то неподалеку...
<p>Я подозреваю, что за этим могут стоять какие-то из здешних монстров... 
<p>Может быть, вы сможете найти подсказки, если убьете несколько монстров.",Корделия,"Вы говорите, это снаряжение у вас от летучих мышей? Да ведь тут не должно быть никаких летучих мышей!
<p>Хм-м, интересно, что их заставило покинуть природную среду обитания..."
Загадочные похитители,Получите ключ орка-похитителя,Корделия,"Я не доверяю этим пришедшим оркам. Мне кажется, они что-то замышляют...
<p>Найдите их лагерь и выбейте из них какую-нибудь информацию!",Корделия,"Итак, все дело в орках! И мои коллеги у них в плену?! О, у вас ключ!"
Спасение археолога,Освободите первого пленного археолога,Корделия,"Отлично, вы нашли ключ! Теперь спасите моих коллег!
<p>Пожалуйста, поторопитесь, пока еще не поздно!",Кузнец Феррон,"Спасибо, что освободили! Я здесь по работе. И совершенно не имею желания сидеть в плену у грязных орков!"
Спасение археолога,Освободите второго пленного археолога,,,,
Спасение археолога,Освободите третьего пленного археолога,,,,
Спасение археолога,Последуйте за кузнецом Ферроном,,,,
Спасение археолога,Поговорите с кузнецом Ферроном,,,,
Расплата кузнеца,Повысьте уровень снаряжения,Кузнец Феррон,"Мне уже казалось, что это конец! Ха-ха!
<P>Теперь мне нужно как-то отплатить вам...
<P>Я знаю! Я покажу вам, как улучшить ваше снаряжение.",,
Расплата кузнеца,Повысьте уровень снаряжения,,,,
Призывы Корделии,Поговорите с Корделией,Кузнец Феррон,"Я собираюсь вернуться обратно в мой город. Я бы позвал вас с собой, но думаю, что та женщина хотела бы с вами поговорить.",,
Саван пал,Найдите зловещего колдуна,Корделия,"Спасибо! Большая часть моих коллег вернулась.
<p>Пока вы их спасали, я видела больше орков!
<p>Думаю, они планируют похитить еще больше людей!
<p>Я позову несколько стражников. Но до тех пор вам нужно помогать!",,
Саван пал,Прибывает зловещий колдун,,,,
Саван пал,Найдите зловещего колдуна,,,,
Саван пал,Убейте призванных монстров,Зловещий колдун,"Любишь совать нос в чужие дела? Твоя жалкая жизнь не стоит моего времени!
<p>Если ты не отойдешь, твоя смерть будет болезненной!",,
Саван пал,Убейте призванных монстров,,,,
Саван пал,Убейте призванных монстров,,,,
Саван пал,Сразитесь со зловещим колдуном,,,,
Зловещее отступление,Уведомьте Корделию,Зловещий колдун,"Я вижу, что недооценил тебя. Мы никогда не встречались, тогда почему ты мешаешь нам?
<p>Сейчас я отступлю, но берегись, твоя жалкая доблесть определила твою судьбу.",Корделия,"Стражники скоро закончат зачистку.
<p>Вы спасли моих коллег и наши раскопки! Спасибо!"
К Фельдхейму,"Встретьте Фельдхейма, глав. археолога",Корделия,"Почти вылетело из головы! Главный археолог, которого вы спасли, хочет лично поблагодарить вас. Почему бы вам не отправиться к нему?",,
Препятствие,Расправьтесь с оборотнями,Фельдхейм,"Вы тот герой, который спас моих археологов? Спасибо! Возможно, вы слышали о наших раскопках в Эльфийских руинах?
<p>Мне стыдно просить, но не могли бы вы помочь мне еще раз? Я обязательно вас отблагодарю.
<p>Уверяю вас, ваша помощь будет неоценима для раскопок. 
<p>Не волнуйтесь, для героя вроде вас это будет не сложно. Мне нужно, чтобы вы прогнали с места раскопок оборотней.",,
Сила зарядов души,Научитесь использовать заряд души,Фельдхейм,"Спасибо! Благодаря вам теперь археологи могут продолжать работать мирно. И что касается достойной награды...
<p>О, я знаю! Вы слышали о <YellowBold>заряде души</>? Это предмет, который позволяет вам обращаться к силам стихий!",,
Сила зарядов души,Научитесь использовать заряд души,,,,
Сила зарядов души,Научитесь использовать заряд души,Фельдхейм,"Что думаете? Давайте попробуем!
<p>Откройте бочку мяса. Это привлечет оборотней, и вы сможете использовать на них <YellowBold>заряд души</>!",,
Сила зарядов души,Откройте бочку мяса,,,,
Сила зарядов души,Испытайте заряд души,,,,
Препятствие II,Убейте Кровопийц,Фельдхейм,"Сделаете для меня еще кое-что? Можете тестировать заряды душ, когда хотите.
<p>Ния, моя помощница, ведет раскопки чуть севернее, но ей докучают кровопийцы.
<p>Пожалуйста, расправьтесь с этими тварями, по возможности, в тайне от нее...",Ния,"Эй, что вы там делаете с этими кровопийцами?
<p>Что? Фельдхейм просил их перебить? Лучше бы снял с нас часть нагрузки, чем заниматься всякой ерундой!
<p>А, вы же не в курсе? Фельдхейм - мой папа. Главный археолог, который больше беспокоится обо мне, чем о раскопках."
Фрагменты дольмена,Соберите фрагменты дольмена,Ния,"Что ж, полагаю так лучше, когда на меня не нападают. Конечно... Это означает, что теперь у нас больше работы. Понимаете? Это все план папы.
<p>Теперь, пожалуйста, соберите фрагменты Дольмена. Используйте кольцо Эльфов, чтобы идентифицировать фрагменты Дольмена.
<p>Спасибо, дайте знать, когда закончите.",Фея очищения,"Добро пожаловать, о вы, кому можно доверять. Я вас ждала. Я - Фея очищения, охраняющая барьер."
Фрагменты дольмена,Зайдите в свет дольмена,Ния,"Интересно! Когда фрагменты дольмена соединились, то что-то произошло в центре руин! Он излучает свет! Как такое возможно?",,
Фрагменты дольмена,Откройте барьер,,,,
Фрагменты дольмена,Зайдите в свет дольмена,,,,
Фрагменты дольмена,Зайдите в свет дольмена,,,,
