Id,Title,Desc
31001,Эпизод пройден,Пройдите эпизод <RedBold>1-2</>.
31002,Повышение уровня снаряжения,Попытайтесь повысить уровень снаряжения <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31003,@31001,Пройдите эпизод <RedBold>1-5</>.
31004,Боевая мощь,Достигните макс. боевой мощи <RedBold>[Value]</>. ([Value1]/[Value2])
31005,Арена,Сразитесь на арене <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31006,Приобретение снаряжения,Приобретите <RedBold>[Value]</> предм. снаряжения. ([Value1]/[Value2])
31007,Повышение уровня умения,Повысьте уровень умения <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31008,@31002,@31002
31009,Очки достижений,Наберите <RedBold>[Value]</> очк. достижений. ([Value1]/[Value2])
31010,Отметки в клане,Посетите свой клан. <RedBold>[Value]</> раз. ([Value1]/[Value2])
31011,Взнос в клан,Сделайте пожертвование в клан <RedBold>[Value]</> раз. ([Value1]/[Value2])
31012,Магазин клана,Купите положит. эфф. клана <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31013,Вход в Башню Дерзости,Испытайте себя в Башне Дерзости <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31014,Автопрохождение Башни Дерзости,Совершите автопрохождение Башни Дерзости <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31015,Нанесение руны,Попытайтесь нанести руну <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31016,Синтез снаряжения,Попытайтесь синтезировать снаряжение <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31017,@31001,Пройдите эпизод <RedBold>1-11</>.
31018,Улучшение снаряжения,Попытайтесь улучшить снаряжение <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31019,Ежедневная задача,Выполнить <RedBold>[Value]</> ежедн. зад. ([Value1]/[Value2])
31020,@31015,Попытайтесь нанести руны <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
31021,@31004,@31004
31101,Недельное задание выполнено,Выполните недельное задание <RedBold>[Value]</> раз(а). ([Value1]/[Value2])
